,2021-04-20
381,1378609868538535936
382,11095952
383,33321797
384,1333911714295779328
385,1355362857370566662
386,1368543960390660096
387,602557943
388,1382258397005946885
389,20515717
390,329282912
391,1475913026
392,1277956767528312832
393,1329510454557859842
394,870887984999964672
395,1026141280777072645
396,1382233098482499584
397,21082457
398,1355962751949144066
399,1307545473176145920
400,115709590
401,1550627293
402,1267654767490355201
403,514464264
404,2382843734
405,1372962330644942849
406,1378996748270456832
407,696412481938395137
408,1332289680897830914
409,3213197577
410,1348907612151173122
411,1022888247377059841
412,1374365643311513604
413,2412978432
414,1361841349549559812
415,34504636
416,1258046916790759426
417,888885331595993088
418,947366555301462017
419,1390937646
420,987808921262927872
421,260651855
422,1316287770554441728
423,1375310565430546433
424,1010404321
425,1379426882119102465
426,1289281650623381504
427,1381960820830183424
428,1310915800694390784
429,1369345116343853056
430,83303721
431,1349747731288481792
432,39429718
433,207618754
434,1375997767915614210
435,944947074176602114
436,1382036993513775104
437,1229264249484013568
438,1381277168391614465
439,1354246427665293312
440,21390902
441,3430009347
442,1282379000300609536
443,1380968486520913921
444,52741070
445,996091159
446,62655526
447,1249431958670602240
448,1362396073558474755
449,708064928
450,2373941510
451,1356327673157529600
452,2436388076
453,893510710738604032
454,1363486768117534725
455,1376317739694968841
456,216868805
457,38600026
458,1256880381707661312
459,1033213868506398721
460,866909173459566592
461,429546751
462,2369808606
463,900981947278565376
464,1286350153469894657
465,1354066335895068672
466,945630587884392448
467,1238822362952466432
468,2360905429
469,53379618
470,363172202
471,1369325489345736706
472,860923398
473,1344546518095646720
474,1319606483953225728
475,1351498988873281536
476,1206422665118068736
477,197654748
478,3075675075
479,428056679
480,1376691565167472642
481,1377570832524828676
482,3017334339
483,1355225241283420161
484,733488094528307202
485,310337090
486,1113608831630696448
487,1336290267926650883
488,2174569562
489,1380832030003404803
490,1375387831871307777
491,835071968822996992
492,39258852
493,1381891969253785600
494,2669290226
495,3222462966
496,67957487
497,88401815
498,4878861075
499,963454246841667584
500,1380991241861668864
501,28567059
502,1376985920856002561
503,1234144570302136321
504,861956971141922816
505,1236651690373328899
506,1346210156951040000
507,926531987615178753
508,1321375932507136000
509,1332800898104500225
510,33842010
511,1362598066537132034
512,976357885
513,159428367
514,57877955
515,1319865818608324609
516,1337409242932776962
517,49912682
518,1102853027117973504
519,286263780
520,249794739
521,1331610380800454657
522,2710001455
523,782041258361401345
524,605048213
525,1381145657746984960
526,1358124140394237952
527,3110157944
528,1364056883934334976
529,4547786303
530,131727560
531,331992048
532,978790333059424256
533,44489996
534,1381791886768107522
535,72775271
536,724937773547945984
537,900518665585475584
538,2240265984
539,18372365
540,1186623335045558272
541,1359043088711258117
542,1345731055211331590
543,1372509280222523396
544,488095905
545,1363431443997683718
546,911472250620018688
547,1370836927344181253
