,DFIPrices,DFIPricesBittrex,Time,commission,customRewards,idTokenA,idTokenB,reserveA,reserveA/reserveB,reserveB,reserveB/reserveA,symbol,totalLiquidity,rewardLoanPct
31,0.0038715481373194,,2021-10-23 20:32:01.048071,0.002,,11.0,0.0,2744.59132729,0.00389206,705176.17658686,256.93303391,BCH-DFI,43664.6782682,
32,2.411270739679812,,2021-10-23 20:32:01.048071,0.002,,13.0,0.0,3026993.17884033,2.43034705,1245498.32234622,0.41146386,USDC-DFI,1923708.0198975,
33,0.00059184,,2021-10-23 20:33:00.532065,0.002,,1.0,0.0,7854.38183458,0.00059704,13155425.44978782,1674.91544552,ETH-DFI,321265.23228247,
34,3.96e-05,3.919e-05,2021-10-23 20:33:00.532065,0.002,,2.0,0.0,2326.23920241,3.967e-05,58637405.18555355,25206.95426541,BTC-DFI,369302.72158792,
35,2.41,2.4034,2021-10-23 20:33:00.532065,0.002,,3.0,0.0,5526101.45452793,2.43147756,2272733.88555777,0.41127255,USDT-DFI,3534641.3728399,
36,9.729590065321482,,2021-10-23 20:33:00.532065,0.002,,7.0,0.0,2393851.41120399,9.84407361,243176.91084763,0.10158396,DOGE-DFI,750690.67112493,
37,0.0123602420761103,,2021-10-23 20:33:00.532065,0.002,,9.0,0.0,18801.07527232,0.01247894,1506623.37538768,80.13495789,LTC-DFI,164813.05608893,
38,0.003866640996021,,2021-10-23 20:33:00.532065,0.002,,11.0,0.0,2744.59132729,0.00389206,705176.17658686,256.93303391,BCH-DFI,43664.6782682,
39,2.411183891290624,,2021-10-23 20:33:00.532065,0.002,,13.0,0.0,3026993.17884033,2.43034705,1245498.32234622,0.41146386,USDC-DFI,1923708.0198975,
40,0.00059072,,2021-10-23 20:34:00.888072,0.002,,1.0,0.0,7854.38183458,0.00059704,13155425.44978782,1674.91544552,ETH-DFI,321265.23228247,
41,3.955e-05,3.919e-05,2021-10-23 20:34:00.888072,0.002,,2.0,0.0,2326.23920241,3.967e-05,58637405.18555355,25206.95426541,BTC-DFI,369302.72158792,
42,2.41,2.4034,2021-10-23 20:34:00.888072,0.002,,3.0,0.0,5526101.45452793,2.43147756,2272733.88555777,0.41127255,USDT-DFI,3534641.3728399,
43,9.729354390724414,,2021-10-23 20:34:00.888072,0.002,,7.0,0.0,2393851.41120399,9.84407361,243176.91084763,0.10158396,DOGE-DFI,750690.67112493,
44,0.0123602420761103,,2021-10-23 20:34:00.888072,0.002,,9.0,0.0,18801.07527232,0.01247894,1506623.37538768,80.13495789,LTC-DFI,164813.05608893,
45,0.0038667030339981,,2021-10-23 20:34:00.888072,0.002,,11.0,0.0,2744.59132729,0.00389206,705176.17658686,256.93303391,BCH-DFI,43664.6782682,
46,2.411027097543554,,2021-10-23 20:34:00.888072,0.002,,13.0,0.0,3026993.17884033,2.43034705,1245498.32234622,0.41146386,USDC-DFI,1923708.0198975,
47,0.00059072,,2021-10-23 20:35:00.289512,0.002,,1.0,0.0,7854.38183458,0.00059704,13155425.44978782,1674.91544552,ETH-DFI,321265.23228247,
48,3.955e-05,3.919e-05,2021-10-23 20:35:00.289512,0.002,,2.0,0.0,2326.23920241,3.967e-05,58637405.18555355,25206.95426541,BTC-DFI,369302.72158792,
49,2.41,2.4034,2021-10-23 20:35:00.289512,0.002,,3.0,0.0,5526101.45452793,2.43147756,2272733.88555777,0.41127255,USDT-DFI,3534641.3728399,
50,9.729354390724414,,2021-10-23 20:35:00.289512,0.002,,7.0,0.0,2393851.41120399,9.84407361,243176.91084763,0.10158396,DOGE-DFI,750690.67112493,
51,0.012358340597918,,2021-10-23 20:35:00.289512,0.002,,9.0,0.0,18801.07527232,0.01247894,1506623.37538768,80.13495789,LTC-DFI,164813.05608893,
52,0.0038667030339981,,2021-10-23 20:35:00.289512,0.002,,11.0,0.0,2744.59132729,0.00389206,705176.17658686,256.93303391,BCH-DFI,43664.6782682,
53,2.411027097543554,,2021-10-23 20:35:00.289512,0.002,,13.0,0.0,3026993.17884033,2.43034705,1245498.32234622,0.41146386,USDC-DFI,1923708.0198975,
54,0.00058999,,2021-10-23 20:36:00.737133,0.002,,1.0,0.0,7854.38183458,0.00059704,13155425.44978782,1674.91544552,ETH-DFI,321265.23228247,
55,3.95e-05,3.919e-05,2021-10-23 20:36:00.737133,0.002,,2.0,0.0,2326.23920241,3.967e-05,58637405.18555355,25206.95426541,BTC-DFI,369302.72158792,
56,2.41,2.4034,2021-10-23 20:36:00.737133,0.002,,3.0,0.0,5526101.45452793,2.43147756,2272733.88555777,0.41127255,USDT-DFI,3534641.3728399,
57,9.726801980877353,,2021-10-23 20:36:00.737133,0.002,,7.0,0.0,2393851.41120399,9.84407361,243176.91084763,0.10158396,DOGE-DFI,750690.67112493,
58,0.0123482092534713,,2021-10-23 20:36:00.737133,0.002,,9.0,0.0,18801.07527232,0.01247894,1506623.37538768,80.13495789,LTC-DFI,164813.05608893,
59,0.0038667030339981,,2021-10-23 20:36:00.737133,0.002,,11.0,0.0,2744.59132729,0.00389206,705176.17658686,256.93303391,BCH-DFI,43664.6782682,
60,2.410277181875916,,2021-10-23 20:36:00.737133,0.002,,13.0,0.0,3026993.17884033,2.43034705,1245498.32234622,0.41146386,USDC-DFI,1923708.0198975,
61,0.00058999,,2021-10-23 20:37:00.076108,0.002,,1.0,0.0,7854.38183458,0.00059704,13155425.44978782,1674.91544552,ETH-DFI,321265.23228247,
62,3.95e-05,3.919e-05,2021-10-23 20:37:00.076108,0.002,,2.0,0.0,2326.23943854,3.967e-05,58637384.61162869,25206.94286243,BTC-DFI,369302.67554257,
63,2.41,2.4034,2021-10-23 20:37:00.076108,0.002,,3.0,0.0,5526101.45452793,2.43147756,2272733.88555777,0.41127255,USDT-DFI,3534641.3728399,
64,9.72888307578033,,2021-10-23 20:37:00.076108,0.002,,7.0,0.0,2393851.41120399,9.84407361,243176.91084763,0.10158396,DOGE-DFI,750690.67112493,
65,0.0123482092534713,,2021-10-23 20:37:00.076108,0.002,,9.0,0.0,18801.07527232,0.01247894,1506623.37538768,80.13495789,LTC-DFI,164813.05608893,
66,0.0038655866549041,,2021-10-23 20:37:00.076108,0.002,,11.0,0.0,2744.59132729,0.00389206,705176.17658686,256.93303391,BCH-DFI,43664.6782682,
67,2.410277181875916,,2021-10-23 20:37:00.076108,0.002,,13.0,0.0,3026993.17884033,2.43034705,1245498.32234622,0.41146386,USDC-DFI,1923708.0198975,
68,0.00058999,,2021-10-23 20:38:00.668072,0.002,,1.0,0.0,7854.38183458,0.00059704,13155425.44978782,1674.91544552,ETH-DFI,321265.23228247,
69,3.95e-05,3.919e-05,2021-10-23 20:38:00.668072,0.002,,2.0,0.0,2326.23943854,3.967e-05,58637384.61162869,25206.94286243,BTC-DFI,369302.67554257,
70,2.41,2.4034,2021-10-23 20:38:00.668072,0.002,,3.0,0.0,5526101.45452793,2.43147756,2272733.88555777,0.41127255,USDT-DFI,3534641.3728399,
71,9.72888307578033,,2021-10-23 20:38:00.668072,0.002,,7.0,0.0,2393851.41120399,9.84407361,243176.91084763,0.10158396,DOGE-DFI,750690.67112493,
72,0.012350740531953,,2021-10-23 20:38:00.668072,0.002,,9.0,0.0,18801.07527232,0.01247894,1506623.37538768,80.13495789,LTC-DFI,164813.05608893,
73,0.0038655866549041,,2021-10-23 20:38:00.668072,0.002,,11.0,0.0,2744.59132729,0.00389206,705176.17658686,256.93303391,BCH-DFI,43664.6782682,
74,2.41005543127492,,2021-10-23 20:38:00.668072,0.002,,13.0,0.0,3026993.17884033,2.43034705,1245498.32234622,0.41146386,USDC-DFI,1923708.0198975,
75,0.00058936,,2021-10-23 20:39:01.044059,0.002,,1.0,0.0,7854.38183458,0.00059704,13155425.44978782,1674.91544552,ETH-DFI,321265.23228247,
76,3.947e-05,3.919e-05,2021-10-23 20:39:01.044059,0.002,,2.0,0.0,2326.23943854,3.967e-05,58637384.61162869,25206.94286243,BTC-DFI,369302.67554257,
77,2.41,2.4034,2021-10-23 20:39:01.044059,0.002,,3.0,0.0,5526101.45452793,2.43147756,2272733.88555777,0.41127255,USDT-DFI,3534641.3728399,
78,9.727940582869138,,2021-10-23 20:39:01.044059,0.002,,7.0,0.0,2393851.41120399,9.84407361,243176.91084763,0.10158396,DOGE-DFI,750690.67112493,
79,0.012350740531953,,2021-10-23 20:39:01.044059,0.002,,9.0,0.0,18801.07527232,0.01247894,1506623.37538768,80.13495789,LTC-DFI,164813.05608893,
