,ownerAuthAddress,operatorAuthAddress,creationHeight,resignHeight,resignTx,banTx,state,mintedBlocks,ownerIsMine,operatorIsMine,localMasternode,targetMultiplier
3b9732d37b0d8fd160cb6974035c58ddbd84844c59323cd903936463ff7857a2,8UVEdaWUDKj3eAseUAJy88yoYXy9Unz6Ue,8PQpN97WGVtUG3eoz6niXDUZhSAxmnyArY,1045139,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,1,False,False,False,7
4d72eb82b8f279c47ce20b50c144da31cc4b26e9a7ef9b66b7c8ef8cf7362093,8Lo6a4FvyBHLnvsr2RjYgw6iwF7vYxncEq,8Sstp9VaZQqeg8wEuJmXJQyRAjob6sfBCU,1043509,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,1,False,False,False,1
46438a20512932139b5e486dfdcb0eb1834e4787370bf33fd6519919bcf38000,8dKK7miPuPQxZec4CbExUQPzzyu3JhVHna,8dTqi1gQduKz8Ba1MbxJzDwU57JrHb6krD,1037940,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,2
2155afef83436b1e1bbf85c23a66c99bcf40bc216e15ad400e28a7b37ea16ab5,8Kwu9NFHNRJffeWPtA1pcQMKBBYQCY8g7f,8QH5aqhvrboQTJ4fSeiqsQD39BpzSyqbhB,1033463,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,6
a4ff6208161be4c9eacbffd27b99244c0206badedc286ef953cb039efc23b038,8dpogV7qSXp8UAVcpZ6EJVmffJx9sfJmRB,8a48SFwcDWKdCNuxDrTmYcQrCDdm69UBCF,1033266,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,4,False,False,False,3
dce9f581d91fcd06140a6da18ba73c9fddd5076bce3672549c79d2ce523f673c,8L6sTSiFy1g7qrzWnj4uyJvwH66LhKgSEV,8HfdmRSUZ9xbsPBX3qce87HMyZB4c9A1wh,1032707,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,3
fae16937c2463bb6c4ac78238bd55d9cab7f469abd7ea819d993dead488223ad,8Zu99Ric6cNNV3WWMyJuDKj2pGDzxbg3zL,8ZoS541pDd94qHTDQWsCeTaBn53h2xi96t,1032520,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,4,False,False,False,1
d2ca326fbe661cbef149412bb1b9b78306798b3886538b447546a4fce5064644,8UbPTe3VnJYiYraebnbH1qCJogbiRjLEGW,8LSNaAAiGDNuF7W4sVenGx3ugV94CUa9Fy,1032518,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,1,False,False,False,18
4b092f80190550a3d9e68400900e123f74d8c0966201170ab061bb2b35148653,8Y6t281ip38ZA9bPA3eDuX4WRAtiTvf7cg,8MSk2CtcexuYmk3hfxkyc4oujP1UnfTpxw,1032456,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,3,False,False,False,4
563041f33bc16502e8788ff8d45a5f573273b9e13538a6d34e3afbfa69cb49eb,8Fq51M6UxLAtzaXkSrqNyppcXqZLeAqpDE,8TFgJjLBJHKyViJE9GFFCr1ZB5PcPzmuKe,1032321,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,16
a76e4d1d1c6cdef0c0e3b43d0acc8b2df92bc73c6c4a2e6dc265e998249dc2d8,8Tn2jVdr4cU8FzcEzCcsPdRh1KDDh5kLXL,8WwfVFaWSrDJxiYuZB5NP34uYBQcNtePb1,1028045,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,22
61f50f8589c125a699696bb5c531dcf7dc30624f9fc15d095a5485c26dc28a31,8QXHag6KxD3iE6Kj48vuzqq4LjkFGsGixw,8QXHag6KxD3iE6Kj48vuzqq4LjkFGsGixw,1026471,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,3
dfcaf8d920c13fcc497fb3b873265e922761907935d9e83e8d8edf80a99859e8,8Tu1o16szqWxVj2wz8BeBrjKipb3xN2iH9,8Tu1o16szqWxVj2wz8BeBrjKipb3xN2iH9,1026471,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,8
f34241a7a84db02dc804c0ce634a9f801425bcfb658699f7fe70c0e4e5d925fd,8YnMbBjfELAaczu26zfTicUCVNhAZu3EEj,8YnMbBjfELAaczu26zfTicUCVNhAZu3EEj,1026456,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,8
b78841095ff3465e20d1f8156b18a336fde6cc53f9cde5ab405616b6df65a276,8WgY1oFh9nL2ggR5fHyZb6scNZhvsZKJPZ,8WgY1oFh9nL2ggR5fHyZb6scNZhvsZKJPZ,1026456,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,1,False,False,False,14
b6a0161dc19e3d9769d0295acc2f2a4edc3106fa1423efa7906fecbce5b66bcb,8RkFWTY44MedyBiRwzDTSTxxvQuKw6TeKT,8RkFWTY44MedyBiRwzDTSTxxvQuKw6TeKT,1026449,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,3
58e2bf482e0236be63c9683b74d81a22e2d3b8ca5fc97e3cec2d1cc38e913c8a,8Jvw1HojqesQnZFu8LQvqYNiG2456ZHwfV,8Jvw1HojqesQnZFu8LQvqYNiG2456ZHwfV,1026429,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,5
c3dcd7399968c02309b29d38748122a08646f7877efc3445982a7b50beee8921,8L9CfzTqMR7QSnULKM1Be46tiWfZ2D9XXC,8JXsg5dXQPFoZVuipL8Gcy44L4T7MjhV47,1024804,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,11
604dfa3843b3d9673a8a31b1f151b33ba143bc48b7b666b3c996e01a3844cb70,8TyHf5WdQatKWmkSoZk8aK4Qftqjjrai3Z,8MRKCvMPLhqrDvHZCxFHHLurDJkLNiN2MC,1024604,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,4,False,False,False,4
36db2b749bf03b1184a52c4af728976d19473fddeef27a83f8d481f1feeb0c23,8YFEsKL6bLG8XQqa9TL7H6582zGyad2Poi,8ZBzg46CSEafbUyYNSa1G57BRpcg9jucsE,1024517,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,5,False,False,False,14
5e1217fb54e5e6eba38bcc519c69b9810ec6f903294003ca1de6946b0afaba08,8agKNcnHowfSqnjnfGxFcnQsYJXHMwu11G,8KDoKwXdJGhxZysmZeMpSNwHDTXP7ARys3,1024110,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,4,False,False,False,4
47e201305ffe241e28db9c0a8af95979ef268865fc017f709d83c83640ee7c14,8cVShH2TwTxrQ64wtEjsuz79ta1mY2ubFM,8ZKn6DPqmrjBckZqQ5VchcWjpQRDWyLqht,1024097,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,6
45ce255650ad2651a4dc37af3dce3918eadbc78d21959a4d9f10b780366d3da2,8GLF793jFiUYaPt3iUHwEJqTcAmvFdhKkL,8U76KQjUaf4uDcD3WyAxi4XKGgHAjnETgs,1023757,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,17
c72775fe88a6206251ccb6f38cc4ef09e381a86b00f7172a4c64df9c743c31cd,8QafGJLnABotgvCezj8ge8tgg2HpbTnfxr,8QafGJLnABotgvCezj8ge8tgg2HpbTnfxr,1023343,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,3,False,False,False,9
c86f7fa05d9344072200d08e620a9410e8c16cb5802d19ddee843480d6637e17,8Gx6uVTSv1eVEcX4t94qQcxDCXubcwfeUS,8Gx6uVTSv1eVEcX4t94qQcxDCXubcwfeUS,1023332,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,3
e3455792532c73fe5a04e5896219126fc503135afe120d106516fb73be91550b,8NqYepV9ZsuXANJc3XeHJSnnapeXNKrzQb,8NqYepV9ZsuXANJc3XeHJSnnapeXNKrzQb,1023300,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,20
88ca81b35c709a35c38a0797c480793e342576bd4a0815fba754986b5dbde67e,8TPyYEhtU1N3qR6QfMBAPh3sBth6RWdmZY,8TPyYEhtU1N3qR6QfMBAPh3sBth6RWdmZY,1023300,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,9
fd779ff4cd5c5ae8a90437580881721d30193a47fdfbea4b14ddf60097d1c5ec,8Kj5wrb4rpARLh93vDpTLrYDY6h1MFLTs6,8Kj5wrb4rpARLh93vDpTLrYDY6h1MFLTs6,1023240,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,5,False,False,False,13
