Date,ETHpool_nbTrades,ETHpool_baseDFI,ETHpool_quoteDFI,ETHpool_baseETH,ETHpool_quoteETH,BTCpool_nbTrades,BTCpool_baseDFI,BTCpool_quoteDFI,BTCpool_baseBTC,BTCpool_quoteBTC,USDTpool_nbTrades,USDTpool_baseUSDT,USDTpool_quoteUSDT,USDTpool_baseDFI,USDTpool_quoteDFI,DOGEpool_nbTrades,DOGEpool_baseDOGE,DOGEpool_quoteDOGE,DOGEpool_baseDFI,DOGEpool_quoteDFI,LTCpool_nbTrades,LTCpool_baseLTC,LTCpool_quoteLTC,LTCpool_baseDFI,LTCpool_quoteDFI,BCHpool_nbTrades,BCHpool_baseBCH,BCHpool_quoteBCH,BCHpool_baseDFI,BCHpool_quoteDFI,USDCpool_nbTrades,USDCpool_baseUSDC,USDCpool_quoteUSDC,USDCpool_baseDFI,USDCpool_quoteDFI,DFIPriceUSD,BTCPriceUSD,ETHPriceUSD,USDTPriceUSD,DOGEPriceUSD,LTCPriceUSD,BCHPriceUSD,USDCPriceUSD,ETHpool_baseETH_inUSD,ETHpool_baseDFI_inUSD,ETHpool_sum_inUSD,BTCpool_baseBTC_inUSD,BTCpool_baseDFI_inUSD,BTCpool_sum_inUSD,USDTpool_baseUSDT_inUSD,USDTpool_baseDFI_inUSD,USDTpool_sum_inUSD,DOGEpool_baseDOGE_inUSD,DOGEpool_baseDFI_inUSD,DOGEpool_sum_inUSD,LTCpool_baseLTC_inUSD,LTCpool_baseDFI_inUSD,LTCpool_sum_inUSD,BCHpool_baseBCH_inUSD,BCHpool_baseDFI_inUSD,BCHpool_sum_inUSD,USDCpool_baseUSDC_inUSD,USDCpool_baseDFI_inUSD,USDCpool_sum_inUSD
2021-07-25,132.0,20004.689796360002,77669.88465642997,77.06649786999999,19.79682915,511.0,109446.97077895004,75893.34871644001,4.748692780000001,6.821324820000004,177.0,143381.28348512002,92623.77144521997,43366.577720659996,66817.32794414,40.0,51968.311891449994,37888.97822522999,3488.9558562,4759.16492261,54.0,246.43871187000002,152.20473773,8931.146180510003,14395.973656510001,23.0,15.848854500000002,4.0712148599999995,876.69290931,3396.04769524,,,,,,2.1383173820581223,34213.59993217662,2183.627414557696,1.002305085345087,0.1982464586696225,125.71866893668708,458.6799537608906,1.0023801822467209,168284.51749288425,42776.37591423735,211060.8934071216,162469.87497573564,234032.36003023625,396502.23500597186,143711.78958044134,92731.50694046177,236443.29652090312,10302.533795518393,7460.494952545939,17763.02874806433,30981.94683076815,19097.625119486547,50079.5719502547,7269.551849223084,1874.647686704678,9144.199535927763,,,
2021-07-26,123.0,37621.68711843,142676.85682182998,143.85615910000004,37.814880179999996,715.0,477055.7397189502,136225.6470883099,8.401297700000002,29.44555795999999,362.0,686177.4003120501,505717.3277793001,211384.0966558401,291222.74834358983,200.0,234601.09119611,213951.30431637005,19654.679005649996,21431.72233979999,134.0,427.70340703,262.86247957000006,15257.320535709996,24696.07423742,120.0,60.28534756,39.758334739999995,8465.83085345,12778.575095959999,,,,,,2.192892498080472,35456.12466076684,2209.4993601030114,1.0028856297745603,0.2023263301015683,128.37733378607533,454.8267495823845,1.0051684494475783,317850.0914783271,82500.31544713589,400350.406925463,297877.4585634138,1046131.9527959161,1344009.41135933,688157.454249021,463542.59977010917,1151700.0540191303,47465.97781953229,43100.59814366963,90566.57596320192,54907.42304573194,33457.66374356758,88365.08678929953,27419.38867815913,18564.656968548705,45984.04564670783,,,
2021-07-27,156.0,26056.045610859997,129682.96209386,133.57116705,26.81458888000001,500.0,154628.73616289,141234.56207114,8.709426529999996,9.49677107999999,343.0,317224.27092278004,220765.04298132012,95313.46488916,136084.82568156003,91.0,112198.31387665997,67230.78548277,5878.851384630001,9780.515841150002,100.0,234.31031648,106.44203525999998,6081.7807525,13321.06580414,57.0,63.83725105000003,48.4869841,10247.5063816,13416.674524189999,,,,,,2.304536202589076,37281.91809217662,2230.212067673471,1.006467532748475,0.2060302135199613,130.95824543918272,480.6061428418717,0.994179960993384,297892.02864813915,60047.10040653906,357939.1290546782,324704.1265212899,356347.5204479747,681051.6469692646,319275.9292835842,219653.33043127198,538929.2597148562,23116.242564587894,13548.025845520753,36664.26841010865,30684.867934520422,14015.683920345682,44700.551854866106,30680.574996768737,23615.749442659784,54296.32443942852,,,
2021-07-28,164.0,36688.76109594,138290.65663863,145.56036824,38.64207876999999,659.0,743176.9240154304,779095.6741708202,48.14777489000003,45.749753420000026,407.0,472773.60803031,456221.14258730994,188262.62537730005,194434.50079750002,48.0,46836.24917433,48597.168196759994,4148.42687761,3980.9472103400003,160.0,359.0885957500001,431.0586181999998,24347.265837490006,20172.40169619001,71.0,62.91522108999999,55.573800090000006,11652.366014680001,13128.884029649998,,,,,,2.381332942577381,39076.59377063225,2292.579636803809,1.004315108296533,0.2045393673688291,133.6922604595157,499.7881340160036,1.0034588000672962,333708.7361526879,87368.15542011333,421076.8915728013,1881451.040336379,1769751.6913212715,3651202.7316576503,474813.67734870344,448315.9916670691,923129.6690157725,9579.856776046303,9878.785583526118,19458.64235957242,48007.366071050754,57978.94620050382,105986.31227155458,31444.28094977541,27748.163049726598,59192.44399950201,,,
2021-07-29,152.0,44470.498726699996,14797.756059059999,15.678735529999999,46.900602449999994,528.0,203604.18816362004,190309.71377194,11.73268381,12.502654270000008,250.0,240666.86949762,185327.30167665004,77567.97906964997,100166.78955206004,66.0,56558.867989660015,18131.92172846,1569.9232806299997,4804.05451778,72.0,109.29839309,166.79164048999996,9531.269466769998,6215.07976677,93.0,35.1461569,102.20769833,21676.42922591,7373.5159368,,,,,,2.351677638270601,40031.19824444798,2299.689405936291,0.9975663218620914,0.2084254397630908,140.05207883476075,509.4302288173108,1.0007159596576658,36056.22199681792,104580.27741832161,140636.49941513952,469673.3915375352,478811.416362625,948484.8079001602,240081.16379880474,182414.88182393785,422496.0456227426,11788.306933247488,3691.9534728579915,15480.260406105479,15307.46716555335,22414.473269334358,37721.94043488771,17904.51475161611,50975.97388812786,68880.48863974397,,,
2021-07-30,183.0,152390.03583602005,99792.37040241002,103.26740888999998,157.85203203999998,537.0,233299.36925693988,246165.03791114013,15.206567439999997,14.355379609999993,247.0,206628.00409989996,118733.80802885002,49314.77489789,84679.45549341002,62.0,62737.682774390014,39965.55877043,3357.64522167,5215.07540347,121.0,312.28512302000007,280.37258234,16148.97060719,17906.516985710005,70.0,71.629,56.09208038000001,12211.126725749997,15518.050155789995,,,,,,2.4423341091098827,39977.75693922764,2383.443259961735,1.0032771292874911,0.2086121903589668,141.5713332527159,537.2157567197728,0.9973742767593872,246132.009692583,372187.38241078914,618319.3921033721,607924.456996293,569795.0071700459,1177719.464166339,207305.15078375157,120443.15681619257,327748.3075999441,13087.845421611522,8200.491451174454,21288.336872785978,44210.62122092981,39441.18174095307,83651.80296188287,38480.22743808061,29823.6513129625,68303.87875104311,,,
2021-07-31,153.0,93592.18203174001,18952.214240600002,19.768608450000002,96.73155753,528.0,109824.3384085,79205.30672967999,4.879007059999999,6.740189050000001,250.0,283730.90638287,201934.15425866994,78731.02898084001,110631.16535329,27.0,14601.159364079998,23949.576413090002,1965.1758074300003,1193.6853516299998,63.0,128.74568554999996,139.67852126,7957.9033112100005,7302.47719918,66.0,44.8625022,30.316359589999998,6473.513296969999,9555.31578914,,,,,,2.537972074633511,41936.261478677225,2462.3999826480103,1.0021834363453637,0.2062297228128357,145.8541556975912,552.6360791542935,1.005691764791312,48678.22110425532,237534.3444005724,286212.5655048277,204607.3158244722,278731.10399587353,483338.4198203457,284350.4147561693,199817.1529605336,484167.56771670294,3011.1930484002582,4987.561321002702,7998.754369402961,18778.093265602813,20196.93637648453,38975.02964208734,24792.637316858865,16429.595972478568,41222.23328933743,,,
2021-08-01,180.0,323015.90890068986,48262.996950400004,47.869938960000006,321.71943306000003,516.0,112719.47582317005,246997.3760622399,15.253643120000005,6.92707093,229.0,119331.82967073002,221634.75726894996,87201.58486783002,46420.66715649999,32.0,9429.40300901,22778.876043840002,1893.42540508,784.80646808,101.0,44.57104792,102.2427953,5885.716312070002,2561.712625859999,76.0,16.675619179999998,35.834475889999986,7701.058347320001,3570.0374785,,,,,,2.5269459266503778,41754.16660435275,2541.674599365905,1.0001525169801917,0.2130869170266389,145.28828035046652,549.6044579579178,0.9989643793664992,121669.80792782835,816243.7352398677,937913.5431676961,636903.1561558193,284836.0202855253,921739.1764413447,119350.02980103214,220353.6896792203,339703.7194802524,2009.2824165916531,4784.583614783248,6793.866031374901,6475.650905715038,14872.886860204973,21348.53776592001,9164.994640536557,19460.158021657167,28625.152662193723,,,
2021-08-02,175.0,212837.03926104997,45558.12611591999,44.19019462,203.85673866000002,532.0,85677.09087473997,145237.67836322996,9.012662439999998,5.295367780000003,227.0,108026.68723828,149303.89921070004,60434.557669949994,43502.470790809995,19.0,17648.79369327,20420.76282545,1699.44739919,1462.43489659,102.0,149.48820690000002,217.66948236,12609.48254666,8632.70976054,112.0,42.85300702999999,77.09926237,17076.613047670002,9535.170617329999,36.0,1191.4834089800001,1064.60602735,448.57750906,499.23353197999995,2.4984940364731885,39914.82975848789,2555.408178513038,1.0032971481757589,0.2068024453317208,140.80678209368656,527.0654779654546,0.998339517057477,112923.98474203085,531772.0733343433,644696.0580763741,359738.886963318,214063.70061290925,573802.5875762273,108382.86723304098,150995.38193526506,259378.24916830604,3649.813692923288,4246.059192176085,7895.872885099373,21048.953374544235,31504.716945842763,52553.670320387,22586.340632523934,42665.81586276374,65252.15649528767,1189.5049711030897,1120.7682312824077,2310.2732023854974
2021-08-03,168.0,16860.15900004,89016.78262091,84.69340465000003,16.032703310000002,479.0,48767.84089624,209877.04743917997,13.083459809999995,3.027074549999999,250.0,138036.43388424997,215268.05776075993,89858.07559933001,57670.22566784998,121.0,45741.379801790004,32312.792747930005,2678.13997531,3777.69229573,84.0,104.28762871,167.97802200000007,9758.056823539997,6027.09421209,56.0,30.55881849,45.97078426,10240.321447290002,6773.99342781,188.0,6198.510292160003,6228.3022826700035,2511.605873369999,2492.1920064999995,2.467378966414759,39278.76650810368,2611.6730699481845,1.001059926781913,0.2038671348842534,141.67155315732666,546.3950012978148,0.9998084367758248,221191.48412662942,41600.40168710719,262791.8858137366,513902.1629951484,120328.74486484406,634230.9078599925,138182.74239740364,221713.92569629414,359896.66809369775,9325.164045843387,6607.986244194436,15933.150290037822,14774.590334440312,24076.824159482603,38851.414493922915,16697.185668503236,25266.753748369294,41963.93941687253,6197.322885543354,6197.0835038769055,12394.406389420259
