,DFIPrices,DFIPricesBittrex,Time,commission,customRewards,idTokenA,idTokenB,numberAddresses,reserveA,reserveA/reserveB,reserveB,reserveB/reserveA,symbol,totalLiquidity
33,0.00084305,,2020-12-13 05:02:41.980470,0.002,,1.0,0.0,,923.19706725,0.0008667999999999,1065051.27966038,1153.65539757,ETH-DFI,31362.85059275
34,2.542e-05,,2020-12-13 05:02:41.980470,0.002,,2.0,0.0,,197.36063412,2.534e-05,7788472.56963968,39463.1513238,BTC-DFI,39222.72467324
35,0.4793739999999999,,2020-12-13 05:02:41.980470,0.002,,3.0,0.0,,242180.02807018,0.48320324,501197.02114726,2.06952251,USDT-DFI,348632.50817983
36,0.00083934,,2020-12-13 06:02:00.712285,0.002,,1.0,0.0,,923.29762676,0.0008667999999999,1065167.29068731,1153.65539758,ETH-DFI,31366.26680039
37,2.534e-05,,2020-12-13 06:02:00.712285,0.002,,2.0,0.0,,197.96890018,2.542e-05,7785910.75296524,39328.95897227,BTC-DFI,39276.65923573
38,0.478247,,2020-12-13 06:02:00.712285,0.002,,3.0,0.0,,242180.03557295,0.48204112,502405.34409502,2.07451181,USDT-DFI,349052.51514906
39,0.00083878,,2020-12-13 07:01:53.961603,0.002,,1.0,0.0,,923.29599249,0.00086602,1066132.81822298,1154.70317958,ETH-DFI,31380.45150769
40,2.533e-05,,2020-12-13 07:01:53.961603,0.002,,2.0,0.0,,198.06743011,2.542e-05,7790444.81166447,39332.28601662,BTC-DFI,39297.86938355
41,0.4797329999999999,,2020-12-13 07:01:53.961603,0.002,,3.0,0.0,,242180.34518963,0.48154358,502925.08107683,2.07665523,USDT-DFI,349233.23866447
42,0.00083138,,2020-12-13 08:01:52.325522,0.002,,1.0,0.0,,923.37622975,0.00086602,1066225.46844136,1154.70317958,ETH-DFI,31383.17856535
43,2.503e-05,,2020-12-13 08:01:52.325522,0.002,,2.0,0.0,,198.08580874,2.541e-05,7792727.42260955,39340.16006587,BTC-DFI,39305.44955779
44,0.481728,,2020-12-13 08:01:52.325522,0.002,,3.0,0.0,,242180.36509475,0.48154358,502925.1224129001,2.07665523,USDT-DFI,349233.2673684
45,0.00084226,,2020-12-13 09:01:44.974142,0.002,,1.0,0.0,,923.3947752,0.00086602,1066246.88293544,1154.70317958,ETH-DFI,31383.8088774
46,2.539e-05,,2020-12-13 09:01:44.974142,0.002,,2.0,0.0,,198.06629984,2.541e-05,7794145.21674668,39351.19312595,BTC-DFI,39307.08915069
47,0.48833,,2020-12-13 09:01:44.974142,0.002,,3.0,0.0,,241969.22473191,0.4812562,502786.70647119,2.07789526,USDT-DFI,349032.95731861
48,0.00083621,,2020-12-13 10:01:52.499242,0.002,,1.0,0.0,,923.56535749,0.00086602,1066443.85484814,1154.70317958,ETH-DFI,31389.60652984
49,2.534e-05,,2020-12-13 10:01:52.499242,0.002,,2.0,0.0,,198.23246637,2.543e-05,7792250.55058505,39308.6495531,BTC-DFI,39318.79367908
50,0.487763,,2020-12-13 10:01:52.499242,0.002,,3.0,0.0,,241848.54579521,0.48089868,502909.56143769,2.07944008,USDT-DFI,348988.53821558
51,0.00084015,,2020-12-13 11:02:01.294001,0.002,,1.0,0.0,,923.59191598,0.00086602,1066474.52202297,1154.70317958,ETH-DFI,31390.50918447
52,2.543e-05,,2020-12-13 11:02:01.294001,0.002,,2.0,0.0,,198.77310756,2.547e-05,7803706.21109003,39259.36615311,BTC-DFI,39401.28128801
53,0.490041,,2020-12-13 11:02:01.294001,0.002,,3.0,0.0,,242050.49793941,0.4807325,503503.49936313,2.0801589,USDT-DFI,349340.32025657
54,0.00084248,,2020-12-13 12:02:17.766665,0.002,,1.0,0.0,,923.58617786,0.00086601,1066473.88416,1154.70966296,ETH-DFI,31390.40228486
55,2.552e-05,,2020-12-13 12:02:17.766665,0.002,,2.0,0.0,,198.7780469,2.546e-05,7804932.86432513,39264.56158537,BTC-DFI,39404.86734639
56,0.491939,,2020-12-13 12:02:17.766665,0.002,,3.0,0.0,,242088.54947835,0.48043729,503892.08013019,2.08143706,USDT-DFI,349502.56515732
57,0.00084238,,2020-12-13 13:02:24.027862,0.002,,1.0,0.0,,923.40639735,0.00086568,1066681.520578,1155.15933573,ETH-DFI,31390.40231001
58,2.556e-05,,2020-12-13 13:02:24.027862,0.002,,2.0,0.0,,198.81279485,2.542e-05,7819155.67157177,39329.23772572,BTC-DFI,39444.19831312
59,0.494292,,2020-12-13 13:02:24.027862,0.002,,3.0,0.0,,243192.97743706,0.48453216,501912.96571946,2.06384646,USDT-DFI,349610.28429358
60,0.00084317,,2020-12-13 14:02:02.639255,0.002,,1.0,0.0,,924.22690795,0.00086568,1067629.34106138,1155.15933574,ETH-DFI,31418.29485862
61,2.555e-05,,2020-12-13 14:02:02.639255,0.002,,2.0,0.0,,198.88391675,2.541e-05,7826938.81810642,39354.30750765,BTC-DFI,39470.88174761
62,0.493331,,2020-12-13 14:02:02.639255,0.002,,3.0,0.0,,243168.91918122,0.48442664,501972.63483969,2.06429603,USDT-DFI,349613.77077071
63,0.00084493,,2020-12-13 15:01:52.617068,0.002,,1.0,0.0,,924.22654129,0.00086566,1067649.72471738,1155.18184884,ETH-DFI,31418.58855132
64,2.559e-05,,2020-12-13 15:01:52.617068,0.002,,2.0,0.0,,198.91436425,2.538e-05,7836500.13650708,39396.3511185,BTC-DFI,39498.00497875
65,0.4934810000000001,,2020-12-13 15:01:52.617068,0.002,,3.0,0.0,,242458.8888722,0.48159934,503445.22357634,2.07641479,USDT-DFI,349614.66789372
66,0.00084564,,2020-12-13 16:01:45.949154,0.002,,1.0,0.0,,926.62953743,0.00086727,1068441.7897189,1153.04093659,ETH-DFI,31471.07366805
67,2.573e-05,,2020-12-13 16:01:45.949154,0.002,,2.0,0.0,,199.18967467,2.536e-05,7852347.0803232,39421.45642504,BTC-DFI,39565.27261129
68,0.494077,,2020-12-13 16:01:45.949154,0.002,,3.0,0.0,,243402.86293319,0.48526036,501592.30152561,2.06074939,USDT-DFI,349649.36949944
69,0.0008343999999999,,2020-12-13 17:01:56.250523,0.002,,1.0,0.0,,927.73876302,0.00086713,1069891.80072591,1153.22528644,ETH-DFI,31511.26497093
70,2.559e-05,,2020-12-13 17:01:56.250523,0.002,,2.0,0.0,,199.45088092,2.526e-05,7894004.88360489,39578.69149132,BTC-DFI,39696.08450119
71,0.4939119999999999,,2020-12-13 17:01:56.250523,0.002,,3.0,0.0,,244364.59366526,0.48909761,499623.35795252,2.04458162,USDT-DFI,349651.16892405
72,0.0008375,,2020-12-13 18:02:03.753880,0.002,,1.0,0.0,,927.82319193,0.00086727,1069818.46633812,1153.04130748,ETH-DFI,31511.61876266
73,2.578e-05,,2020-12-13 18:02:03.753880,0.002,,2.0,0.0,,199.27884087,2.526e-05,7887720.73655478,39581.32585536,BTC-DFI,39663.16371978
74,0.495859,,2020-12-13 18:02:03.753880,0.002,,3.0,0.0,,244284.04998362,0.48876548,499798.07382082,2.04597096,USDT-DFI,349654.66110822
75,0.00083613,,2020-12-13 19:01:50.067045,0.002,,1.0,0.0,,927.82319595,0.00086726,1069826.45499357,1153.04991259,ETH-DFI,31511.73648412
76,2.576e-05,,2020-12-13 19:01:50.067045,0.002,,2.0,0.0,,199.60659967,2.529e-05,7890283.91943713,39529.17354677,BTC-DFI,39702.21652848
77,0.4941819999999999,,2020-12-13 19:01:50.067045,0.002,,3.0,0.0,,244284.05796605,0.48876548,499798.09015264,2.04597096,USDT-DFI,349654.67253382
78,0.00082715,,2020-12-13 20:01:49.083212,0.002,,1.0,0.0,,927.69480231,0.0008542999999999,1085906.08356741,1170.54238189,ETH-DFI,31745.36001426
79,2.555e-05,,2020-12-13 20:01:49.083212,0.002,,2.0,0.0,,199.62153797,2.528e-05,7894545.52244539,39547.56386874,BTC-DFI,39714.42278888
80,0.4906390000000001,,2020-12-13 20:01:49.083212,0.002,,3.0,0.0,,244266.27633798,0.48826431,500274.68856992,2.04807104,USDT-DFI,349808.61287777
81,0.00083473,,2020-12-13 21:01:51.199617,0.002,,1.0,0.0,,927.62699422,0.00085418,1085983.99752627,1170.71193948,ETH-DFI,31745.33861508
82,2.566e-05,,2020-12-13 21:01:51.199617,0.002,,2.0,0.0,,199.87421413,2.533e-05,7888711.12170921,39468.37843013,BTC-DFI,39724.86206119
83,0.491355,,2020-12-13 21:01:51.199617,0.002,,3.0,0.0,,244266.2809999,0.48826431,500274.69811786,2.04807104,USDT-DFI,349808.619554
84,0.00082761,,2020-12-13 22:01:42.279290,0.002,,1.0,0.0,,927.70468679,0.00085373,1086648.23302818,1171.32989463,ETH-DFI,31756.37533257
85,2.551e-05,,2020-12-13 22:01:42.279290,0.002,,2.0,0.0,,200.44582109,2.539e-05,7894312.48644431,39383.77185174,BTC-DFI,39795.73908972
86,0.489088,,2020-12-13 22:01:42.279290,0.002,,3.0,0.0,,244254.60973285,0.48819813,500318.60588709,2.04834867,USDT-DFI,349815.61254461
87,0.00082893,,2020-12-13 23:02:06.194600,0.002,,1.0,0.0,,927.73570489,0.00085373,1086684.56544195,1171.32989461,ETH-DFI,31757.43711648
88,2.552e-05,,2020-12-13 23:02:06.194600,0.002,,2.0,0.0,,200.51599576,2.539e-05,7895248.81671646,39374.65829991,BTC-DFI,39805.06492988
89,0.48728,,2020-12-13 23:02:06.194600,0.002,,3.0,0.0,,244226.79931176,0.48807897,500383.77217487,2.04884874,USDT-DFI,349818.47689702
90,0.00083269,,2020-12-14 00:02:54.788664,0.002,,1.0,0.0,,927.73570489,0.00085373,1086684.56544195,1171.32989461,ETH-DFI,31757.43711648
91,2.566e-05,,2020-12-14 00:02:54.788664,0.002,,2.0,0.0,,200.51713333,2.539e-05,7895319.01823229,39374.78502267,BTC-DFI,39805.35480878
92,0.4914,,2020-12-14 00:02:54.788664,0.002,,3.0,0.0,,244226.79931176,0.48807897,500383.77217487,2.04884874,USDT-DFI,349818.47689702
93,0.00084179,,2020-12-14 01:02:23.780028,0.002,,1.0,0.0,,927.73570489,0.00085373,1086684.56544195,1171.32989461,ETH-DFI,31757.43711648
94,2.581e-05,,2020-12-14 01:02:23.780028,0.002,,2.0,0.0,,200.52514142,2.539e-05,7895734.13831172,39375.28273212,BTC-DFI,39807.19610795
95,0.491001,,2020-12-14 01:02:23.780028,0.002,,3.0,0.0,,244226.79931176,0.48807897,500383.77217487,2.04884874,USDT-DFI,349818.47689702
96,0.00083933,,2020-12-14 02:02:38.939851,0.002,,1.0,0.0,,927.73570489,0.00085373,1086684.56544195,1171.32989461,ETH-DFI,31757.43711648
97,2.574e-05,,2020-12-14 02:02:38.939851,0.002,,2.0,0.0,,200.52631607,2.539e-05,7895782.38666294,39375.2926868,BTC-DFI,39807.43432566
98,0.491165,,2020-12-14 02:02:38.939851,0.002,,3.0,0.0,,244226.79931176,0.48807897,500383.77217487,2.04884874,USDT-DFI,349818.47689702
99,0.00083688,,2020-12-14 03:02:25.721880,0.002,,1.0,0.0,,927.73570489,0.00085373,1086684.56544195,1171.32989461,ETH-DFI,31757.43711648
100,2.561e-05,,2020-12-14 03:02:25.721880,0.002,,2.0,0.0,,200.50837711,2.521e-05,7953130.79476033,39664.83051427,BTC-DFI,39949.94978563
101,0.493826,,2020-12-14 03:02:25.721880,0.002,,3.0,0.0,,242498.32367716,0.5310357,456651.63765661,1.88311255,USDT-DFI,332997.79468142
102,0.0008407,,2020-12-14 04:02:40.249070,0.002,,1.0,0.0,,927.73683791,0.00085373,1086685.89258215,1171.32989461,ETH-DFI,31757.47590102
103,2.577e-05,,2020-12-14 04:02:40.249070,0.002,,2.0,0.0,,200.41374998,2.52e-05,7951814.75774543,39676.99201546,BTC-DFI,39937.21701946
104,0.495946,,2020-12-14 04:02:40.249070,0.002,,3.0,0.0,,239883.04865302,0.52243594,459162.60031448,1.91411024,USDT-DFI,332106.60298024
105,0.00084293,,2020-12-14 05:03:01.288633,0.002,,1.0,0.0,,927.74618569,0.00085373,1086696.84191631,1171.32989461,ETH-DFI,31757.79588603
