,DateCaptured,Windows,Mac,Linux
v1.6.2,2022-05-26,76,26.0,13.0
v1.6.1,2022-05-26,372,7.0,73.0
v1.6.0,2022-05-26,493,321.0,65.0
v1.5.1-beta,2022-05-26,268,102.0,
1.5.0,2022-05-26,920,422.0,104.0
v1.4.2,2022-05-26,593,288.0,67.0
v1.4.1,2022-05-26,235,96.0,32.0
v1.4.0,2022-05-26,404,145.0,37.0
v1.3.0,2022-05-26,91,76.0,27.0
v1.2.1,2022-05-26,192,,
v1.1.0,2022-05-26,189,,
v1.0.0,2022-05-26,485,,
v1.6.2,2022-05-27,76,27.0,13.0
v1.6.1,2022-05-27,372,7.0,73.0
v1.6.0,2022-05-27,494,321.0,65.0
v1.5.1-beta,2022-05-27,268,102.0,
1.5.0,2022-05-27,920,422.0,104.0
v1.4.2,2022-05-27,593,288.0,67.0
v1.4.1,2022-05-27,235,96.0,32.0
v1.4.0,2022-05-27,404,145.0,37.0
v1.3.0,2022-05-27,91,76.0,27.0
v1.2.1,2022-05-27,192,,
v1.1.0,2022-05-27,189,,
v1.0.0,2022-05-27,485,,
v1.6.2,2022-05-28,77,27.0,13.0
v1.6.1,2022-05-28,372,7.0,73.0
v1.6.0,2022-05-28,494,322.0,65.0
v1.5.1-beta,2022-05-28,268,102.0,
1.5.0,2022-05-28,920,422.0,104.0
v1.4.2,2022-05-28,593,288.0,67.0
v1.4.1,2022-05-28,235,96.0,32.0
v1.4.0,2022-05-28,405,145.0,37.0
v1.3.0,2022-05-28,91,76.0,27.0
v1.2.1,2022-05-28,192,,
v1.1.0,2022-05-28,189,,
v1.0.0,2022-05-28,485,,
v1.6.2,2022-05-29,80,27.0,13.0
v1.6.1,2022-05-29,372,7.0,73.0
v1.6.0,2022-05-29,494,322.0,65.0
v1.5.1-beta,2022-05-29,268,102.0,
1.5.0,2022-05-29,920,422.0,104.0
v1.4.2,2022-05-29,593,288.0,67.0
v1.4.1,2022-05-29,235,96.0,32.0
v1.4.0,2022-05-29,405,145.0,37.0
v1.3.0,2022-05-29,91,76.0,27.0
v1.2.1,2022-05-29,192,,
v1.1.0,2022-05-29,189,,
v1.0.0,2022-05-29,485,,
v1.6.2,2022-05-30,82,27.0,13.0
v1.6.1,2022-05-30,372,7.0,73.0
v1.6.0,2022-05-30,497,322.0,65.0
v1.5.1-beta,2022-05-30,268,102.0,
1.5.0,2022-05-30,920,422.0,104.0
v1.4.2,2022-05-30,593,288.0,67.0
v1.4.1,2022-05-30,235,96.0,32.0
v1.4.0,2022-05-30,405,145.0,37.0
v1.3.0,2022-05-30,91,76.0,27.0
v1.2.1,2022-05-30,192,,
v1.1.0,2022-05-30,189,,
v1.0.0,2022-05-30,485,,
v1.6.2,2022-05-31,85,27.0,13.0
v1.6.1,2022-05-31,372,7.0,73.0
v1.6.0,2022-05-31,497,322.0,65.0
v1.5.1-beta,2022-05-31,269,102.0,
1.5.0,2022-05-31,920,422.0,104.0
v1.4.2,2022-05-31,593,288.0,67.0
v1.4.1,2022-05-31,235,96.0,32.0
v1.4.0,2022-05-31,405,145.0,37.0
v1.3.0,2022-05-31,91,76.0,27.0
v1.2.1,2022-05-31,192,,
v1.1.0,2022-05-31,189,,
v1.0.0,2022-05-31,485,,
v1.6.2,2022-06-01,89,28.0,13.0
v1.6.1,2022-06-01,372,7.0,73.0
v1.6.0,2022-06-01,497,322.0,66.0
v1.5.1-beta,2022-06-01,271,102.0,
1.5.0,2022-06-01,920,422.0,104.0
v1.4.2,2022-06-01,593,288.0,67.0
v1.4.1,2022-06-01,235,96.0,32.0
v1.4.0,2022-06-01,405,145.0,37.0
v1.3.0,2022-06-01,91,76.0,27.0
v1.2.1,2022-06-01,192,,
v1.1.0,2022-06-01,189,,
v1.0.0,2022-06-01,485,,
v1.6.2,2022-06-02,90,30.0,13.0
v1.6.1,2022-06-02,372,7.0,73.0
v1.6.0,2022-06-02,498,322.0,66.0
v1.5.1-beta,2022-06-02,271,102.0,
1.5.0,2022-06-02,920,422.0,104.0
v1.4.2,2022-06-02,593,288.0,67.0
v1.4.1,2022-06-02,235,96.0,32.0
v1.4.0,2022-06-02,405,145.0,37.0
v1.3.0,2022-06-02,91,76.0,27.0
v1.2.1,2022-06-02,192,,
v1.1.0,2022-06-02,189,,
v1.0.0,2022-06-02,485,,
v1.6.2,2022-06-03,90,31.0,13.0
v1.6.1,2022-06-03,372,7.0,73.0
v1.6.0,2022-06-03,498,324.0,67.0
v1.5.1-beta,2022-06-03,271,102.0,
1.5.0,2022-06-03,921,422.0,104.0
v1.4.2,2022-06-03,593,288.0,67.0
v1.4.1,2022-06-03,235,96.0,32.0
v1.4.0,2022-06-03,405,145.0,37.0
v1.3.0,2022-06-03,91,76.0,27.0
v1.2.1,2022-06-03,192,,
v1.1.0,2022-06-03,189,,
v1.0.0,2022-06-03,485,,
v1.6.2,2022-06-04,90,32.0,13.0
v1.6.1,2022-06-04,372,7.0,73.0
v1.6.0,2022-06-04,498,324.0,67.0
v1.5.1-beta,2022-06-04,271,102.0,
1.5.0,2022-06-04,921,422.0,104.0
v1.4.2,2022-06-04,593,288.0,67.0
v1.4.1,2022-06-04,235,96.0,32.0
v1.4.0,2022-06-04,405,145.0,37.0
v1.3.0,2022-06-04,91,76.0,27.0
v1.2.1,2022-06-04,192,,
v1.1.0,2022-06-04,189,,
v1.0.0,2022-06-04,485,,
v1.6.2,2022-06-05,90,33.0,13.0
v1.6.1,2022-06-05,372,7.0,73.0
v1.6.0,2022-06-05,498,324.0,67.0
v1.5.1-beta,2022-06-05,271,102.0,
1.5.0,2022-06-05,921,422.0,104.0
v1.4.2,2022-06-05,593,288.0,67.0
v1.4.1,2022-06-05,235,96.0,32.0
v1.4.0,2022-06-05,405,145.0,37.0
v1.3.0,2022-06-05,91,76.0,27.0
v1.2.1,2022-06-05,192,,
v1.1.0,2022-06-05,189,,
v1.0.0,2022-06-05,485,,
v1.6.2,2022-06-06,91,35.0,13.0
v1.6.1,2022-06-06,372,7.0,73.0
v1.6.0,2022-06-06,498,324.0,67.0
v1.5.1-beta,2022-06-06,272,102.0,
1.5.0,2022-06-06,921,422.0,104.0
v1.4.2,2022-06-06,593,288.0,67.0
v1.4.1,2022-06-06,235,96.0,32.0
v1.4.0,2022-06-06,405,145.0,37.0
v1.3.0,2022-06-06,91,76.0,27.0
v1.2.1,2022-06-06,192,,
v1.1.0,2022-06-06,189,,
v1.0.0,2022-06-06,485,,
v1.6.2,2022-06-07,91,35.0,13.0
v1.6.1,2022-06-07,372,7.0,73.0
v1.6.0,2022-06-07,498,324.0,67.0
v1.5.1-beta,2022-06-07,273,102.0,
1.5.0,2022-06-07,921,422.0,104.0
v1.4.2,2022-06-07,593,288.0,67.0
v1.4.1,2022-06-07,235,96.0,32.0
v1.4.0,2022-06-07,405,145.0,37.0
v1.3.0,2022-06-07,91,76.0,27.0
v1.2.1,2022-06-07,192,,
v1.1.0,2022-06-07,189,,
v1.0.0,2022-06-07,485,,
v1.6.2,2022-06-08,93,35.0,15.0
v1.6.1,2022-06-08,372,7.0,73.0
v1.6.0,2022-06-08,499,325.0,67.0
v1.5.1-beta,2022-06-08,273,102.0,
1.5.0,2022-06-08,921,422.0,104.0
v1.4.2,2022-06-08,593,288.0,67.0
v1.4.1,2022-06-08,235,96.0,32.0
v1.4.0,2022-06-08,405,145.0,37.0
v1.3.0,2022-06-08,91,76.0,27.0
v1.2.1,2022-06-08,192,,
v1.1.0,2022-06-08,189,,
v1.0.0,2022-06-08,485,,
v1.6.2,2022-06-09,93,35.0,15.0
v1.6.1,2022-06-09,372,7.0,73.0
v1.6.0,2022-06-09,499,325.0,67.0
v1.5.1-beta,2022-06-09,274,102.0,
1.5.0,2022-06-09,921,422.0,104.0
v1.4.2,2022-06-09,593,288.0,67.0
v1.4.1,2022-06-09,235,96.0,32.0
v1.4.0,2022-06-09,405,145.0,37.0
v1.3.0,2022-06-09,91,76.0,27.0
v1.2.1,2022-06-09,192,,
v1.1.0,2022-06-09,189,,
v1.0.0,2022-06-09,485,,
v1.6.2,2022-06-10,94,35.0,15.0
v1.6.1,2022-06-10,372,7.0,73.0
v1.6.0,2022-06-10,501,325.0,67.0
v1.5.1-beta,2022-06-10,275,102.0,
1.5.0,2022-06-10,921,422.0,104.0
v1.4.2,2022-06-10,593,288.0,67.0
v1.4.1,2022-06-10,235,96.0,32.0
v1.4.0,2022-06-10,405,145.0,37.0
v1.3.0,2022-06-10,91,76.0,27.0
v1.2.1,2022-06-10,192,,
v1.1.0,2022-06-10,189,,
v1.0.0,2022-06-10,485,,
v1.6.2,2022-06-11,97,35.0,15.0
v1.6.1,2022-06-11,372,7.0,73.0
v1.6.0,2022-06-11,501,325.0,67.0
v1.5.1-beta,2022-06-11,275,102.0,
1.5.0,2022-06-11,921,422.0,104.0
v1.4.2,2022-06-11,593,288.0,67.0
v1.4.1,2022-06-11,235,96.0,32.0
v1.4.0,2022-06-11,405,145.0,37.0
v1.3.0,2022-06-11,91,76.0,27.0
v1.2.1,2022-06-11,192,,
v1.1.0,2022-06-11,189,,
v1.0.0,2022-06-11,485,,
v1.6.2,2022-06-12,100,35.0,15.0
v1.6.1,2022-06-12,372,7.0,73.0
v1.6.0,2022-06-12,501,325.0,67.0
v1.5.1-beta,2022-06-12,275,102.0,
1.5.0,2022-06-12,921,422.0,104.0
v1.4.2,2022-06-12,593,288.0,67.0
v1.4.1,2022-06-12,235,96.0,32.0
v1.4.0,2022-06-12,405,145.0,37.0
v1.3.0,2022-06-12,91,76.0,27.0
v1.2.1,2022-06-12,192,,
v1.1.0,2022-06-12,189,,
v1.0.0,2022-06-12,485,,
v1.6.2,2022-06-13,101,36.0,16.0
v1.6.1,2022-06-13,372,7.0,73.0
v1.6.0,2022-06-13,502,325.0,67.0
v1.5.1-beta,2022-06-13,276,102.0,
1.5.0,2022-06-13,921,422.0,104.0
v1.4.2,2022-06-13,593,288.0,67.0
v1.4.1,2022-06-13,235,96.0,32.0
v1.4.0,2022-06-13,405,145.0,37.0
v1.3.0,2022-06-13,91,76.0,27.0
v1.2.1,2022-06-13,192,,
v1.1.0,2022-06-13,189,,
v1.0.0,2022-06-13,485,,
v1.6.2,2022-06-14,101,37.0,16.0
v1.6.1,2022-06-14,372,7.0,73.0
v1.6.0,2022-06-14,502,325.0,67.0
v1.5.1-beta,2022-06-14,276,102.0,
1.5.0,2022-06-14,922,422.0,104.0
v1.4.2,2022-06-14,593,288.0,67.0
v1.4.1,2022-06-14,235,96.0,32.0
v1.4.0,2022-06-14,405,145.0,37.0
v1.3.0,2022-06-14,91,76.0,27.0
v1.2.1,2022-06-14,192,,
v1.1.0,2022-06-14,189,,
v1.0.0,2022-06-14,485,,
v1.6.2,2022-06-15,101,37.0,16.0
v1.6.1,2022-06-15,372,7.0,73.0
v1.6.0,2022-06-15,502,325.0,68.0
v1.5.1-beta,2022-06-15,276,102.0,
1.5.0,2022-06-15,924,422.0,104.0
v1.4.2,2022-06-15,593,288.0,67.0
v1.4.1,2022-06-15,235,96.0,32.0
v1.4.0,2022-06-15,405,145.0,37.0
v1.3.0,2022-06-15,91,76.0,27.0
v1.2.1,2022-06-15,192,,
v1.1.0,2022-06-15,189,,
v1.0.0,2022-06-15,485,,
v1.6.2,2022-06-16,102,37.0,16.0
v1.6.1,2022-06-16,372,7.0,73.0
v1.6.0,2022-06-16,502,325.0,68.0
v1.5.1-beta,2022-06-16,277,102.0,
1.5.0,2022-06-16,925,422.0,104.0
v1.4.2,2022-06-16,593,288.0,67.0
v1.4.1,2022-06-16,235,96.0,32.0
v1.4.0,2022-06-16,405,145.0,37.0
v1.3.0,2022-06-16,91,76.0,27.0
v1.2.1,2022-06-16,192,,
v1.1.0,2022-06-16,189,,
v1.0.0,2022-06-16,485,,
v1.6.2,2022-06-17,103,38.0,16.0
v1.6.1,2022-06-17,372,7.0,73.0
v1.6.0,2022-06-17,502,325.0,68.0
v1.5.1-beta,2022-06-17,277,102.0,
1.5.0,2022-06-17,925,422.0,104.0
v1.4.2,2022-06-17,593,288.0,67.0
v1.4.1,2022-06-17,235,96.0,32.0
v1.4.0,2022-06-17,405,145.0,37.0
v1.3.0,2022-06-17,91,76.0,27.0
v1.2.1,2022-06-17,192,,
v1.1.0,2022-06-17,189,,
v1.0.0,2022-06-17,485,,
v1.6.2,2022-06-18,104,38.0,16.0
v1.6.1,2022-06-18,372,7.0,74.0
v1.6.0,2022-06-18,502,326.0,68.0
v1.5.1-beta,2022-06-18,277,102.0,
1.5.0,2022-06-18,925,423.0,104.0
v1.4.2,2022-06-18,593,288.0,67.0
v1.4.1,2022-06-18,235,96.0,32.0
v1.4.0,2022-06-18,405,145.0,37.0
v1.3.0,2022-06-18,91,76.0,27.0
v1.2.1,2022-06-18,192,,
v1.1.0,2022-06-18,189,,
v1.0.0,2022-06-18,485,,
v1.6.2,2022-06-19,105,38.0,16.0
v1.6.1,2022-06-19,372,7.0,74.0
v1.6.0,2022-06-19,502,326.0,69.0
v1.5.1-beta,2022-06-19,277,102.0,
1.5.0,2022-06-19,925,423.0,104.0
v1.4.2,2022-06-19,593,288.0,67.0
v1.4.1,2022-06-19,235,96.0,32.0
v1.4.0,2022-06-19,405,145.0,37.0
v1.3.0,2022-06-19,91,76.0,27.0
v1.2.1,2022-06-19,192,,
v1.1.0,2022-06-19,189,,
v1.0.0,2022-06-19,485,,
v1.6.2,2022-06-20,106,40.0,16.0
v1.6.1,2022-06-20,372,7.0,74.0
v1.6.0,2022-06-20,502,326.0,69.0
v1.5.1-beta,2022-06-20,278,102.0,
1.5.0,2022-06-20,925,423.0,104.0
v1.4.2,2022-06-20,593,288.0,67.0
v1.4.1,2022-06-20,235,96.0,32.0
v1.4.0,2022-06-20,405,145.0,37.0
v1.3.0,2022-06-20,91,76.0,27.0
v1.2.1,2022-06-20,192,,
v1.1.0,2022-06-20,189,,
v1.0.0,2022-06-20,485,,
v1.6.2,2022-06-21,107,40.0,17.0
v1.6.1,2022-06-21,372,7.0,74.0
v1.6.0,2022-06-21,503,327.0,69.0
v1.5.1-beta,2022-06-21,279,102.0,
1.5.0,2022-06-21,925,423.0,104.0
v1.4.2,2022-06-21,593,288.0,67.0
v1.4.1,2022-06-21,235,96.0,32.0
v1.4.0,2022-06-21,405,145.0,37.0
v1.3.0,2022-06-21,91,76.0,27.0
v1.2.1,2022-06-21,192,,
v1.1.0,2022-06-21,189,,
v1.0.0,2022-06-21,485,,
v1.6.2,2022-06-22,109,40.0,17.0
v1.6.1,2022-06-22,372,7.0,74.0
v1.6.0,2022-06-22,503,328.0,69.0
v1.5.1-beta,2022-06-22,279,102.0,
1.5.0,2022-06-22,925,423.0,104.0
v1.4.2,2022-06-22,593,288.0,67.0
v1.4.1,2022-06-22,235,96.0,32.0
v1.4.0,2022-06-22,405,145.0,37.0
v1.3.0,2022-06-22,91,76.0,27.0
v1.2.1,2022-06-22,192,,
v1.1.0,2022-06-22,189,,
v1.0.0,2022-06-22,485,,
v1.6.2,2022-06-23,110,40.0,17.0
v1.6.1,2022-06-23,372,7.0,74.0
v1.6.0,2022-06-23,505,328.0,69.0
v1.5.1-beta,2022-06-23,279,102.0,
1.5.0,2022-06-23,925,423.0,104.0
v1.4.2,2022-06-23,593,288.0,67.0
v1.4.1,2022-06-23,235,96.0,32.0
v1.4.0,2022-06-23,405,145.0,37.0
v1.3.0,2022-06-23,91,76.0,27.0
v1.2.1,2022-06-23,192,,
v1.1.0,2022-06-23,189,,
v1.0.0,2022-06-23,485,,
v1.6.2,2022-06-24,110,40.0,18.0
v1.6.1,2022-06-24,372,7.0,74.0
v1.6.0,2022-06-24,505,328.0,69.0
v1.5.1-beta,2022-06-24,279,102.0,
1.5.0,2022-06-24,925,423.0,104.0
v1.4.2,2022-06-24,594,288.0,67.0
v1.4.1,2022-06-24,235,96.0,32.0
v1.4.0,2022-06-24,405,145.0,37.0
v1.3.0,2022-06-24,91,76.0,27.0
v1.2.1,2022-06-24,192,,
v1.1.0,2022-06-24,189,,
v1.0.0,2022-06-24,485,,
v1.6.2,2022-06-25,111,40.0,18.0
v1.6.1,2022-06-25,372,7.0,74.0
v1.6.0,2022-06-25,505,328.0,69.0
v1.5.1-beta,2022-06-25,279,102.0,
1.5.0,2022-06-25,925,423.0,104.0
v1.4.2,2022-06-25,594,288.0,67.0
v1.4.1,2022-06-25,235,96.0,32.0
v1.4.0,2022-06-25,405,145.0,37.0
v1.3.0,2022-06-25,91,76.0,27.0
v1.2.1,2022-06-25,192,,
v1.1.0,2022-06-25,189,,
v1.0.0,2022-06-25,485,,
v1.6.2,2022-06-26,111,40.0,18.0
v1.6.1,2022-06-26,372,7.0,74.0
v1.6.0,2022-06-26,505,328.0,69.0
v1.5.1-beta,2022-06-26,279,102.0,
1.5.0,2022-06-26,925,423.0,104.0
v1.4.2,2022-06-26,594,288.0,67.0
v1.4.1,2022-06-26,235,96.0,32.0
v1.4.0,2022-06-26,405,145.0,37.0
v1.3.0,2022-06-26,91,76.0,27.0
v1.2.1,2022-06-26,192,,
v1.1.0,2022-06-26,189,,
v1.0.0,2022-06-26,485,,
v1.6.2,2022-06-27,112,43.0,18.0
v1.6.1,2022-06-27,372,7.0,74.0
v1.6.0,2022-06-27,505,328.0,69.0
v1.5.1-beta,2022-06-27,279,102.0,
1.5.0,2022-06-27,925,423.0,104.0
v1.4.2,2022-06-27,594,288.0,67.0
v1.4.1,2022-06-27,235,96.0,32.0
v1.4.0,2022-06-27,405,145.0,37.0
v1.3.0,2022-06-27,91,76.0,27.0
v1.2.1,2022-06-27,192,,
v1.1.0,2022-06-27,189,,
v1.0.0,2022-06-27,486,,
v1.6.2,2022-06-28,114,43.0,18.0
v1.6.1,2022-06-28,372,7.0,74.0
v1.6.0,2022-06-28,505,328.0,69.0
v1.5.1-beta,2022-06-28,279,102.0,
1.5.0,2022-06-28,925,423.0,104.0
v1.4.2,2022-06-28,594,288.0,67.0
v1.4.1,2022-06-28,235,96.0,32.0
v1.4.0,2022-06-28,405,145.0,37.0
v1.3.0,2022-06-28,91,76.0,27.0
v1.2.1,2022-06-28,192,,
v1.1.0,2022-06-28,189,,
v1.0.0,2022-06-28,486,,
v1.6.2,2022-06-29,115,43.0,19.0
v1.6.1,2022-06-29,372,7.0,74.0
v1.6.0,2022-06-29,505,328.0,70.0
v1.5.1-beta,2022-06-29,279,102.0,
1.5.0,2022-06-29,925,423.0,104.0
v1.4.2,2022-06-29,594,288.0,67.0
v1.4.1,2022-06-29,235,96.0,32.0
v1.4.0,2022-06-29,405,145.0,37.0
v1.3.0,2022-06-29,91,76.0,27.0
v1.2.1,2022-06-29,192,,
v1.1.0,2022-06-29,189,,
v1.0.0,2022-06-29,486,,
v1.6.2,2022-06-30,115,43.0,19.0
v1.6.1,2022-06-30,372,7.0,74.0
v1.6.0,2022-06-30,505,328.0,70.0
v1.5.1-beta,2022-06-30,279,102.0,
1.5.0,2022-06-30,925,423.0,104.0
v1.4.2,2022-06-30,594,288.0,67.0
v1.4.1,2022-06-30,235,96.0,32.0
v1.4.0,2022-06-30,405,145.0,37.0
v1.3.0,2022-06-30,91,76.0,27.0
v1.2.1,2022-06-30,192,,
v1.1.0,2022-06-30,189,,
v1.0.0,2022-06-30,486,,
v1.6.2,2022-07-01,116,43.0,19.0
v1.6.1,2022-07-01,372,7.0,74.0
v1.6.0,2022-07-01,505,328.0,70.0
v1.5.1-beta,2022-07-01,279,102.0,
1.5.0,2022-07-01,925,423.0,104.0
v1.4.2,2022-07-01,594,288.0,67.0
v1.4.1,2022-07-01,235,96.0,32.0
v1.4.0,2022-07-01,405,145.0,37.0
v1.3.0,2022-07-01,91,76.0,27.0
v1.2.1,2022-07-01,192,,
v1.1.0,2022-07-01,189,,
v1.0.0,2022-07-01,486,,
v1.6.2,2022-07-02,117,43.0,19.0
v1.6.1,2022-07-02,372,7.0,74.0
v1.6.0,2022-07-02,506,328.0,70.0
v1.5.1-beta,2022-07-02,279,102.0,
1.5.0,2022-07-02,925,423.0,104.0
v1.4.2,2022-07-02,594,288.0,67.0
v1.4.1,2022-07-02,235,96.0,32.0
v1.4.0,2022-07-02,405,145.0,37.0
v1.3.0,2022-07-02,91,76.0,27.0
v1.2.1,2022-07-02,192,,
v1.1.0,2022-07-02,189,,
v1.0.0,2022-07-02,486,,
v1.6.2,2022-07-03,119,43.0,19.0
v1.6.1,2022-07-03,372,7.0,74.0
v1.6.0,2022-07-03,506,328.0,70.0
v1.5.1-beta,2022-07-03,279,102.0,
1.5.0,2022-07-03,926,423.0,104.0
v1.4.2,2022-07-03,594,288.0,67.0
v1.4.1,2022-07-03,235,96.0,32.0
v1.4.0,2022-07-03,405,145.0,37.0
v1.3.0,2022-07-03,91,76.0,27.0
v1.2.1,2022-07-03,192,,
v1.1.0,2022-07-03,189,,
v1.0.0,2022-07-03,486,,
v1.6.2,2022-07-04,120,43.0,19.0
v1.6.1,2022-07-04,372,7.0,74.0
v1.6.0,2022-07-04,506,329.0,70.0
v1.5.1-beta,2022-07-04,280,102.0,
1.5.0,2022-07-04,926,423.0,104.0
v1.4.2,2022-07-04,594,288.0,67.0
v1.4.1,2022-07-04,235,96.0,32.0
v1.4.0,2022-07-04,405,145.0,37.0
v1.3.0,2022-07-04,91,76.0,27.0
v1.2.1,2022-07-04,192,,
v1.1.0,2022-07-04,189,,
v1.0.0,2022-07-04,486,,
v1.6.2,2022-07-05,122,43.0,19.0
v1.6.1,2022-07-05,372,7.0,74.0
v1.6.0,2022-07-05,507,329.0,70.0
v1.5.1-beta,2022-07-05,281,102.0,
1.5.0,2022-07-05,927,423.0,104.0
v1.4.2,2022-07-05,594,288.0,67.0
v1.4.1,2022-07-05,235,96.0,32.0
v1.4.0,2022-07-05,405,145.0,37.0
v1.3.0,2022-07-05,91,76.0,27.0
v1.2.1,2022-07-05,192,,
v1.1.0,2022-07-05,189,,
v1.0.0,2022-07-05,486,,
v1.6.2,2022-07-06,125,43.0,19.0
v1.6.1,2022-07-06,372,7.0,74.0
v1.6.0,2022-07-06,507,329.0,70.0
v1.5.1-beta,2022-07-06,281,102.0,
1.5.0,2022-07-06,927,423.0,104.0
v1.4.2,2022-07-06,594,288.0,67.0
v1.4.1,2022-07-06,235,96.0,32.0
v1.4.0,2022-07-06,405,145.0,37.0
v1.3.0,2022-07-06,91,76.0,27.0
v1.2.1,2022-07-06,192,,
v1.1.0,2022-07-06,189,,
v1.0.0,2022-07-06,486,,
v1.6.2,2022-07-07,126,43.0,19.0
v1.6.1,2022-07-07,372,7.0,74.0
v1.6.0,2022-07-07,507,329.0,70.0
v1.5.1-beta,2022-07-07,282,102.0,
1.5.0,2022-07-07,927,423.0,104.0
v1.4.2,2022-07-07,594,288.0,67.0
v1.4.1,2022-07-07,235,96.0,32.0
v1.4.0,2022-07-07,405,145.0,37.0
v1.3.0,2022-07-07,91,76.0,27.0
v1.2.1,2022-07-07,192,,
v1.1.0,2022-07-07,189,,
v1.0.0,2022-07-07,486,,
v1.6.2,2022-07-08,127,45.0,19.0
v1.6.1,2022-07-08,372,7.0,74.0
v1.6.0,2022-07-08,507,329.0,70.0
v1.5.1-beta,2022-07-08,282,102.0,
1.5.0,2022-07-08,927,423.0,104.0
v1.4.2,2022-07-08,594,288.0,67.0
v1.4.1,2022-07-08,235,96.0,32.0
v1.4.0,2022-07-08,405,145.0,37.0
v1.3.0,2022-07-08,91,76.0,27.0
v1.2.1,2022-07-08,192,,
v1.1.0,2022-07-08,189,,
v1.0.0,2022-07-08,486,,
v1.6.2,2022-07-09,128,45.0,19.0
v1.6.1,2022-07-09,372,7.0,74.0
v1.6.0,2022-07-09,508,329.0,70.0
v1.5.1-beta,2022-07-09,282,102.0,
1.5.0,2022-07-09,927,423.0,104.0
v1.4.2,2022-07-09,594,288.0,67.0
v1.4.1,2022-07-09,235,96.0,32.0
v1.4.0,2022-07-09,405,145.0,37.0
v1.3.0,2022-07-09,91,76.0,27.0
v1.2.1,2022-07-09,192,,
v1.1.0,2022-07-09,189,,
v1.0.0,2022-07-09,486,,
v1.6.2,2022-07-10,132,45.0,20.0
v1.6.1,2022-07-10,372,7.0,74.0
v1.6.0,2022-07-10,508,330.0,70.0
v1.5.1-beta,2022-07-10,283,102.0,
1.5.0,2022-07-10,927,423.0,104.0
v1.4.2,2022-07-10,594,288.0,67.0
v1.4.1,2022-07-10,235,96.0,32.0
v1.4.0,2022-07-10,405,145.0,37.0
v1.3.0,2022-07-10,91,76.0,27.0
v1.2.1,2022-07-10,192,,
v1.1.0,2022-07-10,189,,
v1.0.0,2022-07-10,486,,
v1.6.2,2022-07-11,133,45.0,20.0
v1.6.1,2022-07-11,373,7.0,74.0
v1.6.0,2022-07-11,508,330.0,70.0
v1.5.1-beta,2022-07-11,283,102.0,
1.5.0,2022-07-11,927,423.0,104.0
v1.4.2,2022-07-11,594,288.0,67.0
v1.4.1,2022-07-11,235,96.0,32.0
v1.4.0,2022-07-11,405,145.0,37.0
v1.3.0,2022-07-11,91,76.0,27.0
v1.2.1,2022-07-11,192,,
v1.1.0,2022-07-11,189,,
v1.0.0,2022-07-11,486,,
v1.6.2,2022-07-12,136,45.0,20.0
v1.6.1,2022-07-12,373,7.0,74.0
v1.6.0,2022-07-12,508,330.0,70.0
v1.5.1-beta,2022-07-12,284,102.0,
1.5.0,2022-07-12,927,423.0,104.0
v1.4.2,2022-07-12,595,288.0,67.0
v1.4.1,2022-07-12,235,96.0,32.0
v1.4.0,2022-07-12,405,145.0,37.0
v1.3.0,2022-07-12,91,76.0,27.0
v1.2.1,2022-07-12,192,,
v1.1.0,2022-07-12,189,,
v1.0.0,2022-07-12,486,,
v1.6.2,2022-07-13,136,45.0,20.0
v1.6.1,2022-07-13,373,7.0,74.0
v1.6.0,2022-07-13,508,330.0,70.0
v1.5.1-beta,2022-07-13,284,102.0,
1.5.0,2022-07-13,927,423.0,104.0
v1.4.2,2022-07-13,595,290.0,67.0
v1.4.1,2022-07-13,235,96.0,32.0
v1.4.0,2022-07-13,405,145.0,37.0
v1.3.0,2022-07-13,91,76.0,27.0
v1.2.1,2022-07-13,192,,
v1.1.0,2022-07-13,189,,
v1.0.0,2022-07-13,486,,
v1.6.2,2022-07-14,136,45.0,20.0
v1.6.1,2022-07-14,373,7.0,74.0
v1.6.0,2022-07-14,508,330.0,70.0
v1.5.1-beta,2022-07-14,284,102.0,
1.5.0,2022-07-14,927,423.0,104.0
v1.4.2,2022-07-14,595,290.0,67.0
v1.4.1,2022-07-14,235,96.0,32.0
v1.4.0,2022-07-14,405,145.0,37.0
v1.3.0,2022-07-14,91,76.0,27.0
v1.2.1,2022-07-14,192,,
v1.1.0,2022-07-14,189,,
v1.0.0,2022-07-14,486,,
v1.6.2,2022-07-15,136,45.0,20.0
v1.6.1,2022-07-15,373,7.0,74.0
v1.6.0,2022-07-15,509,330.0,70.0
v1.5.1-beta,2022-07-15,284,102.0,
1.5.0,2022-07-15,927,423.0,104.0
v1.4.2,2022-07-15,595,290.0,67.0
v1.4.1,2022-07-15,235,96.0,32.0
v1.4.0,2022-07-15,405,145.0,37.0
v1.3.0,2022-07-15,91,76.0,27.0
v1.2.1,2022-07-15,192,,
v1.1.0,2022-07-15,189,,
v1.0.0,2022-07-15,486,,
v1.6.2,2022-07-16,138,45.0,20.0
v1.6.1,2022-07-16,373,7.0,74.0
v1.6.0,2022-07-16,510,330.0,70.0
v1.5.1-beta,2022-07-16,284,102.0,
1.5.0,2022-07-16,928,423.0,104.0
v1.4.2,2022-07-16,595,290.0,67.0
v1.4.1,2022-07-16,235,96.0,32.0
v1.4.0,2022-07-16,405,145.0,37.0
v1.3.0,2022-07-16,91,76.0,27.0
v1.2.1,2022-07-16,192,,
v1.1.0,2022-07-16,189,,
