,Time,base_name,base_volume,last_price,pool,quote_name,quote_volume,coingeckoVolume
18941,2021-07-04 13:00:24.705116,BTC,236101.13446374005,15051.33783691,BTC_DFI,DFI,205482.9462610625,1186901.4800379756
18942,2021-07-04 13:00:24.705116,USDT,162504.05161613,0.42805127,USDT_DFI,DFI,134209.96408097463,1186901.4800379756
18943,2021-07-04 13:00:24.705116,DOGE,4758.326365543375,0.10587415,DOGE_DFI,DFI,61.073089974,1186901.4800379756
18944,2021-07-04 13:00:24.705116,LTC,13064.1050430596,61.22078472,LTC_DFI,DFI,19394.8239145518,1186901.4800379756
18945,2021-07-04 13:00:24.705116,BCH,15246.846956442503,219.99973312,BCH_DFI,DFI,11916.046080549,1186901.4800379756
18946,2021-07-04 16:00:32.440581,ETH,27947.663429172004,980.2679324,ETH_DFI,DFI,281203.3907774676,1193177.5169069911
18947,2021-07-04 16:00:32.440581,BTC,203312.21823948,15055.26170233,BTC_DFI,DFI,171337.5086730371,1193177.5169069911
18948,2021-07-04 16:00:32.440581,USDT,160133.38830745002,0.42838916,USDT_DFI,DFI,135908.09102826542,1193177.5169069911
18949,2021-07-04 16:00:32.440581,DOGE,4889.89395051562,0.10603081,DOGE_DFI,DFI,412.1408929014,1193177.5169069911
18950,2021-07-04 16:00:32.440581,LTC,13179.3552056373,61.51665561,LTC_DFI,DFI,24392.73156006961,1193177.5169069911
18951,2021-07-04 16:00:32.440581,BCH,14271.133506057002,226.29333501,BCH_DFI,DFI,31860.641367126,1193177.5169069911
18952,2021-07-04 17:00:40.111341,ETH,28110.4930652697,987.6805086,ETH_DFI,DFI,363344.8724155926,1194389.0345593097
18953,2021-07-04 17:00:40.111341,BTC,242216.82824502,15046.50682643,BTC_DFI,DFI,164180.71475533256,1194389.0345593097
18954,2021-07-04 17:00:40.111341,USDT,168792.61382131002,0.42386819,USDT_DFI,DFI,127197.47355988136,1194389.0345593097
18955,2021-07-04 17:00:40.111341,DOGE,4860.251264932433,0.10603081,DOGE_DFI,DFI,392.2196706792,1194389.0345593097
