,dfxBuyRoutes,dfxSellRoutes,dfxBuyVolume,dfxSellVolume,dfxBuyVolumeCHF,dfxSellVolumeCHF
2021-08-27 21:31,24.0,0.0,210.56830408233583,0.0,,
2021-08-27 22:01,24.0,0.0,210.56830408233583,0.0,,
2021-08-27 23:01,24.0,0.0,210.56830408233583,0.0,,
2021-08-28 00:04,24.0,0.0,210.56830408233583,0.0,,
2021-08-28 01:02,24.0,0.0,210.56830408233583,0.0,,
2021-08-28 02:02,24.0,0.0,210.56830408233583,0.0,,
2021-08-28 03:02,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 04:02,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 05:03,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 06:02,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 07:02,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 08:02,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 09:01,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 10:01,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 11:02,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 12:02,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 13:01,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 14:02,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 15:02,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 16:02,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 17:02,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 18:02,25.0,0.0,210.56830408233583,0.0,,
2021-08-28 19:02,26.0,0.0,210.56830408233583,0.0,,
2021-08-28 20:02,26.0,0.0,210.56830408233583,0.0,,
2021-08-28 21:02,26.0,0.0,210.56830408233583,0.0,,
2021-08-28 22:01,26.0,0.0,273.79432096527364,0.0,,
2021-08-28 23:02,26.0,0.0,273.79432096527364,0.0,,
2021-08-29 00:04,26.0,0.0,273.79432096527364,0.0,,
