DateHour,ETHpool_nbTrades,ETHpool_baseDFI,ETHpool_quoteDFI,ETHpool_baseETH,ETHpool_quoteETH,BTCpool_nbTrades,BTCpool_baseDFI,BTCpool_quoteDFI,BTCpool_baseBTC,BTCpool_quoteBTC,USDTpool_nbTrades,USDTpool_baseDFI,USDTpool_quoteDFI,USDTpool_baseUSDT,USDTpool_quoteUSDT,DOGEpool_nbTrades,DOGEpool_baseDFI,DOGEpool_quoteDFI,DOGEpool_baseDOGE,DOGEpool_quoteDOGE,LTCpool_nbTrades,LTCpool_baseLTC,LTCpool_quoteLTC,LTCpool_baseDFI,LTCpool_quoteDFI,BCHpool_nbTrades,BCHpool_baseBCH,BCHpool_quoteBCH,BCHpool_baseDFI,BCHpool_quoteDFI,BTC-USD,ETH-USD,USDT-USD,DOGE-USD,LTC-USD,BCH-USD,DFI-USD,USDCpool_nbTrades,USDCpool_baseDFI,USDCpool_quoteDFI,USDCpool_baseUSDC,USDCpool_quoteUSDC,USDC-USD
2020-12-02 04:00:00+00:00,1.0,1.0,,,0.00062831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 06:00:00+00:00,1.0,10000.0,,,6.13189361,1.0,20000.0,,,0.34889172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 09:00:00+00:00,1.0,1500.0,,,0.89345356,4.0,1636.0,8301.82491615,0.144,0.02843388,4.0,1507.0,,,477.64481736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 10:00:00+00:00,1.0,1.6,,,0.00094865,2.0,54.0,,,0.00093685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 12:00:00+00:00,1.0,1.0,,,0.0005928999999999,1.0,2.0,,,3.467e-05,4.0,,1852.58977852,591.0843220300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 17:00:00+00:00,1.0,2.0,,,0.00118579,6.0,772.9938859,35164.30848782,0.6247423700000001,0.01398223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 19:00:00+00:00,2.0,63.48008953,,,0.03763418,9.0,5030.10098127,6654.7835317,0.12052171,0.09084419,1.0,,31.46325906,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 20:00:00+00:00,1.0,4.0,,,0.00237087,7.0,4173.6866481100005,14198.14204762,0.25882997,0.07546855,2.0,3.0,,,0.95053712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 21:00:00+00:00,1.0,9.0,,,0.00533436,6.0,687.87465847,6614.81633407,0.12212106,0.01270593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 22:00:00+00:00,2.0,200.0,,,0.1185095,3.0,350.0,5618.09407752,0.1044186,0.00650715,2.0,210.0,,,66.39190441,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 23:00:00+00:00,2.0,10.0,51.29900175,0.0304966999999999,0.0059213999999999,4.0,3403.0,,,0.06315785,1.0,25.0,,,7.87232443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 02:00:00+00:00,1.0,2000.0,,,1.18022061,1.0,2.0,,,3.7e-05,3.0,,7630.8191959,2690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 07:00:00+00:00,1.0,1.0,,,0.00058686,9.0,7467.5,51629.18919086,1.00651378,0.14791424,1.0,,1008.58299938,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 08:00:00+00:00,1.0,,5567.13183921,3.319,,7.0,337.6,14557.8495529,0.29348,0.00673545,1.0,1600.0,,,596.25052615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 09:00:00+00:00,1.0,25.0,,,0.01504978,3.0,3402.0,50.08906074,0.00102,0.06892094,3.0,20.0,1298.31131366,482.0030748,7.26294289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 11:00:00+00:00,1.0,0.0001,,,6.000000000000002e-08,5.0,205.1,540.77538136,0.011,0.00415697,1.0,,1020.51909671,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 14:00:00+00:00,1.0,,9.78116401,0.00591112,,2.0,189.93490863,,,0.0038423,1.0,,266.80065647,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 16:00:00+00:00,1.0,5.0,,,0.00300974,3.0,,403.91782943,0.0081512,,1.0,4.0,,,1.53974606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 19:00:00+00:00,1.0,,9969.711523,6.1559608,,4.0,42352.17667796,70896.07491014,1.49969,0.90961066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 22:00:00+00:00,2.0,70.0,,,0.0440671299999999,2.0,140.0,,,0.00281801,2.0,,2274.04998912,882.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 06:00:00+00:00,1.0,12.0,,,0.00755255,,,,,,1.0,,26.87963086,10.74485153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 08:00:00+00:00,4.0,276.22302096,3958.01132174,2.51776994,0.1738394999999999,5.0,347.0,12368.01555442,0.2558937,0.00720722,1.0,258.0,,,102.72189444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 09:00:00+00:00,1.0,,3461.99254875,2.23957619,,5.0,200.0,16536.12897539,0.34791724,0.00423034,2.0,96.0463665,93.26170736,37.149627,38.14962717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 10:00:00+00:00,2.0,1000.0,50.46686059,0.03293555,0.64927614,4.0,3484.0,,,0.07367858,2.0,220.0,981.71859805,393.42385551,88.37701848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 11:00:00+00:00,2.0,1407.63604357,773.7045787,0.5,0.90901108,4.0,1502.80649394,,,0.03167433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 12:00:00+00:00,1.0,501.0,,,0.32325094,1.0,500.0,,,0.01052599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 15:00:00+00:00,2.0,100.0,13139.61815478,8.74161263,0.06439026,5.0,11032.0,,,0.23099791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 21:00:00+00:00,1.0,60.0,,,0.04101247,9.0,11143.18091007,7057.066124110001,0.14667538,0.23111619,3.0,4999.99934601,2550.57260016,1000.44342393,1987.91714094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 23:00:00+00:00,1.0,1.0,,,0.00068335,,,,,,3.0,,430.97819796,172.25904673000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-05 00:00:00+00:00,1.0,,233.20578765,0.16,,2.0,1003.17604418,,,0.0209848,3.0,,6137.16249783,2559.02172684,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-05 01:00:00+00:00,1.0,299.996,,,0.20522405,1.0,110.0,,,0.00229843,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-05 07:00:00+00:00,1.0,,971.28553951,0.66708168,,4.0,1.0,4404.7918728,0.09294937,2.098e-05,1.0,,218.01941776,88.97927243,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-05 08:00:00+00:00,1.0,30.0,,,0.02058702,1.0,95.0,,,0.00200308,2.0,48.0,66.04961755,27.0,19.55522344,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-05 10:00:00+00:00,1.0,,2050.74681151,1.41814945,,1.0,250.0,,,0.00527055,2.0,,2979.97195369,1241.75790456,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-05 11:00:00+00:00,1.0,,428.45880114,0.298,,3.0,252.0,10018.61746271,0.213,0.00537159,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-05 12:00:00+00:00,1.0,,4.63761571,0.00323199,,7.0,1334.77558361,5723.812562860001,0.12258716,0.02845153,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-05 15:00:00+00:00,1.0,1.0,,,0.00069413,5.0,1633.00272588,725.34717616,0.01570567,0.03524732,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-05 16:00:00+00:00,1.0,5000.0,,,3.43398976,5.0,0.99887013,4594.258997860001,0.0996542399999999,2.154e-05,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-05 21:00:00+00:00,1.0,,125.59292013,0.08552048,,1.0,1170.0,,,0.02496139,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-05 23:00:00+00:00,1.0,100.0,,,0.06786021,3.0,541.0,,,0.01149963,1.0,100.0,,,40.33271811,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-06 04:00:00+00:00,2.0,1193.0,,,0.80775394,1.0,3000.0,,,0.06348164,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-06 05:00:00+00:00,3.0,1199.7245136,10.39124761,0.007,0.80789702,1.0,10000.0,,,0.2101128,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-06 06:00:00+00:00,1.0,10.39046126,,,0.00697182,1.0,263.0,,,0.00549038,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-06 07:00:00+00:00,1.0,1000.0,,,0.67004565,1.0,21000.0,,,0.43374679,3.0,1016.0,505.7817933,209.84855957,420.65605173,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-06 08:00:00+00:00,3.0,100.0,13700.79380478,9.47272996,0.07113589,8.0,3468.22897134,21236.40323092,0.43781989,0.07100765,1.0,,820.56752979,341.06129829,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-06 11:00:00+00:00,1.0,69.44547578,,,0.04937765,2.0,98.5,8572.49388399,0.181,0.00206524,2.0,5044.54361255,69.44547578,27.92204619,1965.36488608,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-06 17:00:00+00:00,1.0,170.0,,,0.12083563,5.0,3495.0,0.61115217,1.388e-05,0.07929045,1.0,170.0,,,69.0529358,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-06 20:00:00+00:00,2.0,,5542.36521493,4.0,,1.0,600.0,,,0.01353691,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-06 21:00:00+00:00,4.0,30.0,1367.4082787,1.003,0.02200693,12.0,6907.413,,,0.15535812,5.0,20.0,977.98045138,400.0,8.20165339,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-07 07:00:00+00:00,1.0,18.0,,,0.01320303,2.0,22.5,,,0.00050283,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-07 14:00:00+00:00,1.0,,2.71597828,0.002,,3.0,4786.13088936,,,0.11954133,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-07 15:00:00+00:00,1.0,2000.0,,,1.46149327,6.0,26342.06618895,,,0.65117506,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-07 19:00:00+00:00,1.0,,112.57727535,0.08213499,,7.0,3871.8502222,0.41103522,1e-05,0.09379114,2.0,112.57727535,8.91774257,4.05478944,51.0500446,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-08 06:00:00+00:00,1.0,100.0,,,0.0727049999999999,9.0,1680.07271331,8672.53093446,0.20664802,0.03998507,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
