,AMZN-USD,ARKF-USD,ARKG-USD,ARKK-USD,ARKQ-USD,ARKW-USD,ARKX-USD,BABA-USD,BCH-USD,BCO-USD,BTC-USD,BYDDF-USD,COIN-USD,CQQQ-USD,DFI-USD,DIS-USD,DOGE-USD,EEM-USD,ETH-USD,EUR-USD,FB-USD,GLD-USD,GLO-USD,GME-USD,GOOGL-USD,INTC-USD,KRBN-USD,LTC-USD,LZAGY-USD,MA-USD,MARA-USD,MCHI-USD,MIN1000,MIN200,MIN350,MIN500,MSFT-USD,MSTR-USD,NFLX-USD,NLLSF-USD,NSRGY-USD,NTDOF-USD,NVDA-USD,OTGLY-USD,PATH-USD,PDBC-USD,PLTR-USD,PYPL-USD,QQQ-USD,RBLX-USD,RIOT-USD,SEDG-USD,SGD-USD,SI-USD,SLV-USD,SNAP-USD,SOXL-USD,SOXS-USD,SOXX-USD,SPY-USD,SQ-USD,SQNXF-USD,SQQQ-USD,TCEHY-USD,TLRY-USD,TLT-USD,TQQQ-USD,TSLA-USD,TTWO-USD,TWTR-USD,U-USD,UBER-USD,URTH-USD,USDC-USD,USDT-USD,V-USD,VNQ-USD,VOO-USD,XAG-USD,XAU-USD,XCU-USD,nbLiquidation,nbLoans,nbVaults,sumBTC,sumDFI,sumLoanDUSD,sumInterest,sumLoanTSLA,sumUSDC,sumUSDT,AAPL-USD,AMD-USD,sumLoanAAPL,sumLoanARKK,sumLoanBABA,sumLoanGLD,sumLoanGME,sumLoanGOOGL,sumLoanPDBC,sumLoanPLTR,sumLoanQQQ,sumLoanSLV,sumLoanSPY,sumLoanTLT,sumLoanURTH,sumLoanVNQ,burnedAuction,burnedPayback,MIN150,MIN175,sumDUSD,sumLoanLiquidationAAPL,sumLoanLiquidationARKK,sumLoanLiquidationBABA,sumLoanLiquidationDUSD,sumLoanLiquidationGLD,sumLoanLiquidationGME,sumLoanLiquidationGOOGL,sumLoanLiquidationPDBC,sumLoanLiquidationPLTR,sumLoanLiquidationQQQ,sumLoanLiquidationSLV,sumLoanLiquidationSPY,sumLoanLiquidationTLT,sumLoanLiquidationTSLA,sumLoanLiquidationURTH,sumLoanLiquidationVNQ,sumLoanAMZN,sumLoanLiquidationAMZN,sumLoanCOIN,sumLoanEEM,sumLoanLiquidationCOIN,sumLoanLiquidationEEM,sumLoanLiquidationNVDA,sumLoanNVDA,burnedDFIPayback,dexfeetokens,dfipaybacktokens
2022-01-04 15:02:17.855195,3406.4968282,40.72178974,62.79020997,96.43305719,78.7790257,120.24730971,18.97306177,118.94981745,438.63478131,74.172,47208.9034025,34.99665421,255.23132141,61.51803711,3.62140979,158.47827637,0.17153747,49.19187646,3875.54998197,1.12854,341.22918741,168.62454557,10.92564307,151.66126028,2909.33525719,53.46416923,52.97715181,150.64654598,81.17487171,376.35551007,34.30214407,62.29771423,36.0,1689.0,161.0,121.0,334.0400469,567.49781695,596.43868869,1.83002962,140.75921675,472.0239476,300.98411764,12.18276767,43.72469711,14.20468749,18.64720394,193.58824937,401.58767383,97.58105589,23.55816927,281.47734692,0.73735437,152.00848344,21.21084952,46.03151313,72.61400567,3.18410254,554.9901906,479.05691133,162.15373686,52.00026718,5.75022748,58.22396187,7.2218217,143.92777454,170.94638167,1199.62128078,178.74348757,42.57094241,136.89337468,43.65602641,136.28347582,1.00515716,1.00019827,223.88547335,115.26926317,440.15821733,22.483725,1786.85375,4.3394,388.0,9795.0,7350.0,883.2331957199992,51020176.11718831,78925593.61388536,117291.3845551604,2332.519314409998,14484558.377676807,10260742.870827831,182.13578826,150.34820812,7669.326155260003,7723.597625519993,9614.816672449995,4184.76036576,13180.516837199992,274.2511245599998,28989.098859039987,58824.41802250999,4580.650988180003,33976.870732690004,6804.227568790001,4993.71273431,2534.166147150001,3893.2429059699975,62583.24200623,39745.56317699,4512.0,433.0,0.0,3929.637360010001,4570.32799472,5250.653806970003,0.0,684.40505338,3243.1948259999986,199.9175181,15854.65073505,19951.2177417,1912.6369279899995,9412.663755679998,2293.015715499997,407.5495117,3965.070351240002,779.5463959200004,952.34768746,,,,,,,,,,,
2022-01-04 16:02:11.632305,3366.66012106,39.53359781,60.71430286,92.87073989,77.76508626,116.6792416,18.86420636,117.81611808,437.02900439,74.172,47115.96040111,34.89936188,247.81315958,60.59794913,3.6315223,157.37249618,0.17152768,49.10484071,3859.96892037,1.13189,336.38445509,169.21253671,10.89147641,146.66130865,2891.88814717,52.97204709,52.75409324,150.54751453,80.76797738,375.36182008,33.4174042,61.83790225,36.0,1689.0,161.0,121.0,331.85439415,552.97478408,590.16811071,1.81096501,140.92992429,468.85616675,291.36850969,12.13747459,42.25256919,14.23532394,18.19023586,191.37367908,397.51782266,94.90541653,23.3114005,270.31985237,0.7384379,147.87742345,21.2865989,44.57764799,69.53560753,3.3560022,545.12229315,477.94895662,157.03749283,51.99943604,5.92739069,57.79615582,7.14997236,143.59706277,165.75208577,1169.40529679,176.72490957,41.46941194,131.19412289,43.24575804,136.25136379,0.99791231,0.99856182,222.9263724,115.48781695,439.29321451,22.483725,1786.85375,4.3394,394.0,9818.0,7361.0,884.8345007799993,51035358.22613102,79012413.51934893,117587.86361939016,2315.7572394,14582722.085719915,10076303.16756658,181.57623307,145.47749582,7669.881064569994,8221.651633319998,9775.740705660002,4198.98432693,13465.083527460009,274.9816053299999,28989.23253500001,60165.81468655001,4633.754592370005,34004.02427180998,6843.199042570005,5105.686665150002,2532.84151059,3693.138595889997,62583.24200623,39770.24451881,4526.0,432.0,0.0,3950.82086067,4312.75177112,5114.332829480004,0.0,670.2005455699999,3157.5743264799976,208.05064204000004,15959.718291060002,20072.30267191,1879.1616993899995,9058.0534569,2306.5394126499973,407.5497880000001,3983.45973879,781.2746982300004,1134.84134369,,,,,,,,,,,
2022-01-04 17:02:12.040015,3367.14917905,39.61782991,61.02279068,93.28654745,77.83487979,116.91331294,18.83706748,118.31642243,436.51255688,74.172,46862.51919189,34.66705372,249.62079079,60.56275145,3.5883867,157.10841212,0.17109839,49.09446787,3850.09570285,1.12923,336.27975021,169.01660902,10.8723185,148.07702434,2894.98539257,53.08032416,52.62442205,150.47000149,80.82193277,375.50344224,33.73595282,61.89628978,36.0,1691.0,161.0,121.0,330.31554967,554.525572,590.57571975,1.81700072,141.08439896,468.37070566,291.61160031,12.16951944,42.73912695,14.23310466,18.21530439,191.94192886,397.34557174,94.70671626,23.31174553,272.35367579,0.73768073,150.11173893,21.2228051,44.31786259,69.10122609,3.3507339,546.16021444,477.71621872,156.66144604,51.9996085,5.93668107,57.74451875,7.17356466,143.28372508,165.49231739,1164.69969785,177.79071022,41.34979012,130.85644437,43.42047634,136.0471292,0.99995684,1.00007982,223.12835673,115.44954015,439.14667572,22.483725,1786.85375,4.3394,389.0,9831.0,7366.0,884.7272084299995,50929850.47016606,78784133.09928995,117792.35042882,2345.5833234100014,14517865.803634057,9969040.017064327,180.55363279,145.15681339,7670.309955459995,8068.103719899998,9648.552704820002,4192.082982359999,13585.043500389987,274.8580047500001,29175.875125210005,60577.93698338,4604.406752589999,34106.162998169995,6854.67257142,5120.76977099,2546.7605052399995,3714.91182052,62621.6335746,39820.79359776,4534.0,431.0,0.0,3878.2324834299993,4570.330029019999,5163.106854700003,0.0,668.8176618699999,3235.498545719998,204.70340588000005,15596.917307440004,19858.74316787,1881.41964913,9412.665864079998,2227.4754741799966,388.1981095700001,3959.820807730001,772.0409759300002,1064.3980012799998,,,,,,,,,,,
2022-01-04 18:01:58.028205,3359.69181102,39.47087049,60.83826425,92.96498153,77.60017988,116.57697245,18.81437967,118.16394978,436.24023034,74.172,46881.34173337,34.67541973,250.78887908,60.52405356,3.5993136,157.28366324,0.17153036,49.07738168,3857.80762448,1.12928999,335.83627459,169.12370792,10.88466443,147.14613416,2891.06969024,53.3170437,52.93533738,150.20532822,80.70915414,373.98114705,33.70725808,61.83178792,36.0,1691.0,161.0,121.0,329.64127355,555.97323806,589.08164594,1.81398743,141.00372685,469.56356921,290.01014456,12.18534622,42.37082711,14.24362473,18.11983496,190.99945002,396.51549253,94.53205254,23.63332433,271.6045861,0.73758823,152.68981499,21.26646496,43.88439635,69.25129769,3.32992467,546.7755734,477.23196595,155.72367013,52.00000066,5.96718222,57.79412673,7.17785756,143.44532439,164.56871193,1169.95660125,179.15600483,41.12558708,129.78877756,43.53432539,136.07546352,0.99990928,1.00002764,223.11591769,115.17425048,438.69538165,22.483725,1786.85375,4.3394,328.0,9809.0,7365.0,884.6882658199993,50862281.6744363,78647757.61953074,117717.66541410978,2345.9881721599963,14494056.561252076,9769610.017106077,180.11902964,144.1103256,7611.633992960002,8371.224582130006,9834.071353179996,4257.296533199998,13800.447485780003,287.12711216999986,29640.696759990005,61835.815840509975,4824.852599209998,34377.28498488,6066.810615340001,5120.999990569996,2555.977383690001,3578.149767539998,62622.83007794,39865.76351085,4511.0,431.0,0.0,3391.13831263,3723.9710164699977,4672.635756910001,0.0,415.32374973,2678.496616549998,173.43863586000003,14189.143250010004,17173.619117100006,1498.61939437,8407.0324449,1777.3590566899993,383.45511981,3825.7357713300025,680.9093073299999,917.0307448,,,,,,,,,,,
2022-01-04 19:01:54.984244,3355.72170292,39.30197986,60.49332565,92.60422135,77.53023505,116.01036942,18.78372342,118.30732956,429.61580901,74.172,46010.34400778,34.79016084,248.41912325,60.56600594,3.55095402,156.83751551,0.16808517,49.03420373,3788.36323294,1.12874999,335.88738706,169.20978328,10.88266935,146.82330994,2884.0613126,53.41388533,52.94994283,147.55792342,80.62846469,374.32698217,32.97396373,61.80076171,34.0,1689.0,161.0,121.0,329.2092324,544.8521465,586.6049704,1.81601022,140.92079054,469.52675341,290.24641811,12.17945379,42.29740839,14.24719317,18.0443136,190.6255727,396.16295762,93.96362301,23.29570086,271.49600938,0.73735437,151.22215531,21.26742557,43.92952115,69.74497417,3.3192781,547.33839413,476.56392508,155.39235392,51.99966638,5.9843406,57.7947018,7.17359241,143.63194161,164.06966731,1161.9378841,180.00507006,41.06147406,129.42706258,43.63517274,136.01214811,0.99592546,0.99632978,222.90222503,114.99142919,438.11617235,22.483725,1786.85375,4.3394,401.0,9845.0,7365.0,883.4435792199993,50840418.15482701,78547166.58803955,117988.72202046022,2309.14618681,14592662.621294554,9665298.17114696,180.26993785,143.90582026,7647.24458892001,8497.7628491,9906.70771184,4290.443483759998,13968.67584044999,290.50660933,30025.944292400018,61885.09963676002,4849.146663859997,34616.54701533,6090.5124173099975,5094.328824279999,2576.42412002,3397.272488430001,62622.92216061,39888.92722216,4519.0,432.0,0.0,3913.100692420001,4110.993277959999,4978.303281380002,0.0,552.1677456200001,3038.168864109999,193.10243159,15163.395583570004,18466.420889820005,1680.2019441799991,8874.41443199,2817.322239670007,385.26560285,3981.8357657000015,741.44982346,1196.2915667099996,,,,,,,,,,,
2022-01-04 20:02:13.944253,3360.12836769,39.43446883,60.65091587,93.06402651,77.60023401,116.52599843,18.80514588,119.30125927,428.83623338,74.172,46197.14893259,34.73536714,248.85157343,60.57836924,3.56992258,156.47114929,0.16850324,49.07293161,3809.82237225,1.1289,336.57620083,169.15853633,10.88857543,147.55011984,2890.55318353,53.56986775,52.96227031,147.18048698,80.65167516,375.3792009,33.20651856,61.86360712,34.0,1689.0,161.0,121.0,329.71693152,546.84953977,589.89563448,1.8170231,140.91821346,468.01925189,292.2316337,12.1634723,42.53448445,14.24556822,18.05854775,191.79378977,397.11660106,95.18809176,23.59101296,273.57411596,0.73752295,150.05548577,21.27514752,44.28534788,70.46171912,3.28663156,549.42080587,477.51786735,156.41887399,51.99992804,5.94065516,57.79371008,7.21004905,143.61764302,165.32694218,1162.88333955,180.51129049,41.15330957,130.81783524,43.93270279,135.9669122,0.99979823,1.00002743,222.91837081,115.22206374,439.02071414,22.483725,1786.85375,4.3394,383.0,9629.0,7374.0,878.1435779999993,50631623.49381539,78336880.34677407,118222.26260513008,2326.5475311599976,14575531.911001071,9430774.55696966,180.52590946,144.43519318,7599.577697479994,8443.070171660002,9242.244740589998,4126.773410120001,13866.789965170008,268.7594486199999,28656.92899683,60752.75744407999,4368.291724429998,34233.46120511003,5958.878951580002,5080.032713270001,2516.47333448,3279.6490893799987,62625.74475889,39942.06529668,4434.0,433.0,0.0,3691.612151880002,4070.488406339999,4894.332165660005,0.0,552.16809722,2883.223752399999,172.82825200000002,14899.422761230006,18488.43919364001,1619.9887072499994,8874.41890079,3116.99897238001,374.71998685,3829.671702010002,716.12034389,1194.7148836299998,,,,,,,,,,,
2022-01-04 21:01:58.164902,3369.59767268,39.78977864,61.17024139,94.04595561,77.77141714,117.58848432,18.83717219,120.3674316,430.15921834,74.172,46361.05574302,34.76110848,250.5060754,60.77548381,3.58211533,156.3976698,0.16942089,49.11783326,3826.62431372,1.12819,338.13120086,169.15009255,10.9006461,150.38115122,2899.31528743,53.3067872,52.96983332,147.66910454,80.64715374,374.93663259,33.79718043,62.02155805,34.0,1692.0,161.0,121.0,331.24631782,553.54981465,593.50086322,1.81499344,140.90231416,469.60737084,295.06618683,12.16379347,42.93344097,14.24835648,18.25107923,192.51480908,398.52152945,96.23847537,23.93010805,275.77494452,0.73757735,151.50177178,21.28250298,44.81363617,71.27625333,3.25386386,551.56378237,478.3315039,158.95317392,52.00046378,5.88139292,57.96681196,7.21648856,143.58800265,167.02357762,1165.57570294,181.0458228,41.46666724,133.08324224,44.45253369,136.1201712,1.00521661,1.00504437,222.45421216,115.14019877,439.76673633,22.483725,1786.85375,4.3394,481.0,9668.0,7387.0,879.606473299999,50692343.05495247,78140352.60614347,118453.90285744004,2342.9112225199974,14536798.953187792,9165417.773365818,180.69603195,145.97596023,7597.980126360007,8486.212529020002,9280.398722530004,4150.06146762,13723.9610601,269.72891208000004,28670.07939265,60884.47479827997,4355.381086660002,34492.412352709995,6026.971930810003,5072.685655390001,2549.91630444,3361.0533011299985,62625.74475889,39979.38436088,4448.0,432.0,0.0,3864.538284160003,3998.59107402,5532.913365610003,0.0,681.9593468400001,3058.515863169999,213.78215346,16504.052259289998,19845.784577049995,1976.4460904499983,9284.47519946,3253.2037377900097,408.15077524,3818.7266020600073,561.33801278,1349.3479033299998,,,,,,,,,,,
2022-01-04 22:02:11.123077,3349.92347568,39.27514463,60.26692676,92.71511743,77.43444546,116.14904723,18.83460965,119.58349529,429.20719387,74.172,46204.71549941,34.83864014,250.02630211,60.22254804,3.57368236,155.71842163,0.16923885,49.03027498,3823.95063563,1.1286,336.51595811,169.57881297,10.93424906,148.95911228,2887.72008217,53.1200693,53.09985418,147.50830876,80.67579988,375.40673257,34.11330373,61.57878753,34.0,1690.0,161.0,121.0,329.04635306,551.39751312,591.07096628,1.82100693,140.89103791,468.26592519,292.9618692,12.12575093,42.87096968,14.29579422,18.27495244,191.1153486,396.4696911,96.19540839,24.40109608,273.18808774,0.73755015,150.62661253,21.32229517,44.03398168,71.15622987,3.26503084,551.42015661,477.50257483,156.33923715,52.00013775,5.96571392,57.89287349,7.11223995,143.70225582,164.56081002,1149.65409671,181.89959013,40.84673667,129.74386029,44.28814784,136.0452584,0.99982361,1.00006922,222.4553099,114.96445823,439.05881244,22.483725,1786.85375,4.3394,490.0,9715.0,7406.0,880.7463522699991,50677730.32374456,78211247.16687654,118594.3600440202,2391.6687061100006,14545123.341379331,9177182.013147926,179.60958171,144.43890276,7597.8298562,8205.73950188,9247.60186165,4171.082250699999,13740.836534769998,270.54080260000006,28890.815946870018,59540.93615305994,4306.445617709998,34728.58239978003,6042.566827040005,5044.211378770001,2579.92890802,3546.429900019998,62626.11703167,40130.95530964,4460.0,433.0,0.0,4117.210347970002,4315.487234810002,5204.58239875,0.0,665.5382841600001,3176.8766443300005,212.25943364000003,13908.087285589998,19043.372637580003,2118.73208151,9234.469513270002,3252.542971380008,401.93287439,3966.7875385500047,768.26199665,1142.8519598999997,,,,,,,,,,,
2022-01-04 23:02:06.578345,3350.03959036,39.27266272,60.26179523,92.70770196,77.50294763,116.14894964,18.83253313,119.57731613,429.02862149,74.172,46225.09866501,34.77866286,250.0645492,60.22825272,3.57148811,155.71910423,0.16928688,49.03036241,3820.18200342,1.12854999,336.52270237,169.57464735,10.94276302,148.93656497,2887.76326618,53.12178385,53.09998786,147.33239497,80.00453974,375.39398296,34.11822312,61.58131491,34.0,1689.0,161.0,121.0,329.03539937,551.28514775,591.1096527,1.81397375,140.96706539,467.37817462,292.93637808,12.12548478,42.87503506,14.29710652,18.27396337,191.12551245,396.47499747,96.19493858,24.40131033,273.18806137,0.73765896,150.62733639,21.32222927,44.03377455,71.15653654,3.26499501,551.41846678,477.50406114,156.33714987,51.99966444,5.96574479,57.71714333,7.11209982,143.7027845,164.56452703,1149.61691086,181.89703704,40.84654229,129.73802676,44.28715124,136.04398755,1.0000236,0.99998876,222.45615607,114.96537714,439.06447781,22.483725,1786.85375,4.3394,504.0,9717.0,7422.0,878.5550132599991,50236653.81183184,77801603.15515676,118733.7238446497,2407.364485180001,14617183.785576353,9072478.794681927,179.6402285,144.43583778,7585.818070540002,8170.373162449993,9203.23609123,4121.10343513,13773.238407739998,271.1090827499999,29069.069188809983,54781.87966773998,4299.776770709999,34242.69163869,6026.398654770002,4965.519772400001,2512.44777871,3502.0064962900005,62626.11703167,40198.81984032,4470.0,433.0,0.0,4022.604487680002,4452.76433454,5555.633333940001,0.0,682.0416018300001,3176.8781674300008,212.65799028,16333.279340629995,20131.71939864,2145.09737787,9289.47879891,3186.582422860008,391.82098294,3978.530966770005,812.6148699500001,1116.8495526599995,,,,,,,,,,,
2022-01-05 00:04:23.931451,3350.07409184,39.27222638,60.26191296,92.70585622,77.50352837,116.15101076,18.83274939,119.57563802,427.4744835,74.172,45912.02900089,34.6599613,250.06456311,60.22933592,3.56327346,155.71849646,0.16848406,49.02932361,3795.24789945,1.12821,336.51820534,169.57505178,10.9428231,148.93588172,2887.80679738,53.12273908,53.10011165,146.76704843,78.65902953,375.39952573,34.11859597,61.58156028,34.0,1689.0,161.0,121.0,329.03204969,551.28358755,591.10060735,1.80002145,141.11846985,465.5996776,292.93577315,12.1256363,42.48154289,14.29736764,18.17133932,191.12627442,396.4700308,95.15473813,24.39404382,273.17954709,0.7376644,150.58515997,21.32149584,44.03257425,71.12704144,3.26285619,551.39632327,477.5018644,156.32938854,52.00064459,5.96708746,57.36988688,7.11146599,143.70187473,164.53556774,1149.61831358,181.90173211,40.84747208,129.74054194,44.42190056,136.04463218,0.99913019,0.99840679,222.45689717,114.96413318,439.04753552,22.483725,1786.85375,4.3394,487.0,9735.0,7428.0,880.1478963399992,50246643.76713719,77839070.50285049,118915.93110165,2408.81022832,14567720.76861528,9087125.996744528,179.64036525,144.43377413,7581.704057160002,8154.288551900003,9199.89345755,4121.127763459999,13663.242801680008,273.9544464600001,28807.482274610004,55194.19599306998,4299.801408720001,34242.89244483002,6057.926221319995,4940.40743031,2519.46247453,3316.780297990001,62626.11703167,40308.1850486,4478.0,431.0,0.0,3796.4376273900016,4069.124583110002,5219.01177134,0.0,624.4516494300001,2717.098036090002,193.89484181,15807.151291729995,14710.457789499998,1825.77816069,8684.98399642,2977.9730253900043,358.30843219,3805.932146169986,826.0072696000002,998.2812658200002,,,,,,,,,,,
2022-01-05 01:02:50.055926,3350.05682094,39.27323919,60.26089771,92.70787273,77.50285648,116.15046769,18.83288977,119.57780903,429.16923985,74.172,46218.38162993,34.65996805,250.0618592,60.22931561,3.57622091,155.71764084,0.16940355,49.03039671,3804.76712926,1.12806,336.52223461,169.57515448,10.94291628,148.93455056,2887.79542521,53.12244288,53.09977153,147.36801499,78.659745,375.39794243,34.1188845,61.58142051,34.0,1688.0,161.0,121.0,329.0389563,551.28218763,591.11390432,1.79999603,141.11946211,465.60478457,292.94023892,12.12567933,42.48172925,14.297039,18.17134969,191.12397941,396.47426555,95.1566584,24.39400416,273.17882827,0.73735437,150.58475681,21.32143299,44.03261033,71.12774134,3.26285847,551.40708944,477.49764701,156.3324019,52.00059991,5.96710893,57.36999437,7.11147995,143.70291127,164.53497977,1149.61042332,181.90039893,40.84715258,129.73982968,44.42143264,136.04203799,0.99980704,1.0000578,222.45465882,114.96300232,439.04903107,22.483725,1786.85375,4.3394,486.0,9732.0,7427.0,880.2944599399991,50269859.21551006,77862832.60403588,119232.5099382299,2446.1865683700007,14591877.765123893,9097356.397206897,179.63889492,144.43379731,7591.735184909998,8153.800925890002,9199.932354430002,4120.192773129999,13642.61714467,273.71529643000014,28778.668534239987,55194.16589887004,4143.056155620003,34182.72007901,6058.15965457,4941.730315759998,2519.47371714,3316.79536713,62626.11703167,40331.71506067,4480.0,431.0,0.0,3435.9035912700024,4309.369674240002,4863.684904869999,0.0,644.5288439800001,2868.2938405200016,199.40367216,12740.015256739993,18123.809680210008,2064.3723660000005,8470.83745293,3141.7825560300003,349.30731197999995,3433.766530979994,747.9359426600001,1003.0046451300002,,,,,,,,,,,
2022-01-05 02:02:51.584474,3350.07962386,39.27293268,60.26147151,92.70846217,77.50248086,116.15118843,18.83281732,119.57648111,428.5242817,74.172,46244.69041652,34.66005818,250.06255202,60.22775594,3.57402332,155.7181262,0.16934008,49.0300427,3804.50184833,1.12874,336.5199423,169.57392439,10.94292683,148.93685212,2887.82370408,53.12259088,53.10029506,147.4205736,78.6595483,375.39567992,34.1190296,61.58222064,34.0,1686.0,161.0,121.0,329.03878055,551.28752671,591.12029807,1.80001457,141.1179165,465.59336388,292.93666099,12.12574185,42.48172773,14.29742352,18.17167436,191.12492885,396.47338197,95.15487767,24.3943895,273.18442809,0.73716412,150.58296022,21.32133082,44.03322401,71.12815558,3.26286485,551.40010138,477.49084092,156.32913944,51.99963914,5.96720794,57.37011005,7.11130362,143.70004621,164.53184287,1149.60579547,181.89915921,40.84730043,129.73977814,44.4215391,136.04358175,0.99993286,1.0001179,222.45820049,114.96425107,439.03841966,22.483725,1786.85375,4.3394,471.0,9765.0,7441.0,880.3107286099994,50300588.594943576,77853143.25408614,119564.15209757986,2455.497095709999,14592032.765123893,9110882.374545245,179.63874584,144.43387597,7610.713501219996,8216.642002949999,9194.968802270008,4120.21026709,13642.115108479997,284.3353856500001,28778.791406889995,55254.39936226002,4170.713454440003,34181.71592971003,6058.16388647,4942.793790020003,2524.1362532500007,3373.745645489997,62630.03181494,40337.32234784,4519.0,431.0,0.0,3861.1844933400016,4289.44207987,5241.619861839999,0.0,732.0437628500001,3217.4108859300013,197.65671073,16084.726633659997,20657.77831098001,2160.009146270001,9394.11022786,3277.83207027,407.27029863,3706.220529179999,854.0077144500002,1151.3470915899998,,,,,,,,,,,
2022-01-05 03:02:21.824756,3350.07743781,39.27330576,60.26108134,92.70667415,77.50211603,116.14942578,18.83294058,119.57717897,428.94633179,74.172,46330.52942431,34.65940065,250.06593374,60.22872913,3.58075209,155.71786461,0.16977019,49.02971881,3805.94013368,1.12942,336.51889715,169.57576324,10.94273276,148.93467926,2887.7848953,53.12286364,53.09960462,147.72464627,78.66027354,375.39774591,34.11913954,61.58186416,34.0,1686.0,161.0,121.0,329.03721413,551.28708211,591.11447761,1.80001373,141.11664552,465.59712417,292.93609216,12.12557701,42.4818878,14.29712679,18.17166558,191.12649885,396.47285465,95.15726706,24.39432613,273.18074473,0.73727826,150.58514258,21.32153033,44.03261925,71.12697543,3.26288879,551.4032302,477.4984298,156.32939106,52.00030357,5.96714979,57.37059063,7.11145974,143.70070177,164.53284539,1149.6157817,181.89726726,40.8465401,129.73925732,44.42123425,136.04576934,1.00023397,1.0000901,222.46033083,114.96173112,439.04361729,22.483725,1786.85375,4.3394,471.0,9766.0,7442.0,880.3127535999993,50326622.3488233,77889116.43746255,119837.63937491029,2455.593963659999,14672000.336178891,9198712.511505468,179.63747501,144.43347319,7610.779848979997,8216.667422319999,9194.996789640005,4120.223704229999,13713.323773360004,284.33647765000006,28778.885893679995,55254.56520265999,4170.726482270004,34181.82600324001,6058.180764080008,4942.81027389,2524.1443975700004,3373.7567322499985,62630.03181494,40337.35727432,4520.0,431.0,0.0,3861.2084539800026,4218.9050376800005,5574.342367679999,0.0,731.96176046,3217.410973230001,203.23388073000004,16543.980247199994,20889.05845312001,1973.8166972999995,9770.49930386,3281.8757012,407.11004944,3754.111646049994,622.7342758400001,1184.4392491199997,,,,,,,,,,,
2022-01-05 04:02:24.284926,3350.10825099,39.2723877,60.2619871,92.705459,77.50263844,116.15001507,18.83308105,119.57834283,429.59464398,74.172,46438.57005084,34.66016982,250.06563193,60.22890702,3.58331424,155.71978545,0.1702343,49.0291736,3813.88491682,1.12954,336.51932278,169.5747345,10.94285748,148.9369168,2887.80846288,53.1234323,53.10000248,148.52033363,78.66017889,375.3945245,34.11845914,61.58130159,34.0,1686.0,161.0,121.0,329.03904069,551.29127716,591.10994442,1.79996747,141.12020346,465.6007909,292.94343537,12.04980856,42.48154079,14.29740407,18.17140945,191.12827956,396.47455712,95.15531562,24.39453824,273.17774578,0.7376372,150.58376423,21.32130534,44.03222075,71.12775347,3.26285162,551.40447753,477.50176265,156.32822057,51.99992991,5.96705418,57.36988378,7.11138712,143.70319798,164.53631857,1149.61862315,181.89909474,40.84701427,129.73848616,44.42245511,136.04490327,1.00023805,1.00009212,222.45816784,114.96276744,439.04609897,22.483725,1786.85375,4.3394,476.0,9782.0,7446.0,880.3212138499994,50341108.29801094,77902436.37551802,120236.90528392995,2455.80658022,14670098.403129565,9198794.557428986,179.63774283,144.43513617,7610.858584349999,8430.698074979997,9195.037946330003,4120.243465269999,13731.979075439998,284.33807797,28779.02455456,55703.19872812997,4176.480890819999,34181.98773475001,6058.205574829998,4942.834530530001,2524.1562922900007,3373.773007470001,62630.03181494,40338.19588903,4531.0,431.0,0.0,4113.981956200003,4245.092129900001,5684.611815179996,0.0,732.0439473500002,3099.0512321700007,205.45716011,16549.482313179993,20444.990689340026,2169.9593384899995,9775.50187191,3140.238171850001,407.2705584300001,3892.411032499994,874.0127484500001,1184.4393337199997,,,,,,,,,,,
2022-01-05 05:02:17.181463,3350.09253028,39.27243287,60.26069144,92.708219,77.50318958,116.14981747,18.8330348,119.57644293,429.22096977,74.172,46438.00287545,34.65999083,250.0644414,60.22795289,3.56161513,155.72007736,0.16987579,49.02977067,3811.60342964,1.1291,336.51671013,169.57591455,10.94288585,148.93561536,2887.77713627,53.12280487,53.10041365,148.41799976,78.66007255,375.40051368,34.11848822,61.58158116,34.0,1687.0,161.0,121.0,329.0357879,551.28498366,591.10702041,1.80000057,141.1181941,465.59644658,292.94022743,12.05004211,42.48163315,14.29708923,18.17146167,191.12716944,396.48032413,95.15641964,24.39426925,273.18447399,0.73738155,150.58359583,21.32126883,44.03260704,71.12706614,3.26282335,551.40559788,477.50496365,156.32931386,51.99929646,5.96711583,57.36922364,7.11147504,143.70198221,164.53325719,1149.62455438,181.90152333,40.84697678,129.73897717,44.42139657,136.04681987,0.99943786,1.00008583,222.45883377,114.96260743,439.05332833,22.483725,1786.85375,4.3394,481.0,9749.0,7448.0,880.3660911399993,50124011.46172888,77954158.44958438,120514.70582538992,2300.1985081300027,14669248.486616872,9198810.203026967,179.64130676,144.43567043,7477.642975279995,8428.886196759999,9195.070408329995,4120.25905127,13027.145533900002,281.4783133999999,28792.172099079988,55158.59826703003,4085.297377670005,34182.11534275,5871.759456560002,4942.853657530004,2524.165700290001,3122.998476839998,62630.03181494,40341.52047475,4512.0,430.0,0.0,4113.982094200002,4245.0933479000005,5684.614385579999,0.0,732.0440157500002,3217.413365130001,205.45773041000004,16536.449512159994,20416.82034980002,2169.9606494899995,9775.50292551,3282.144609410001,407.2706064300001,3954.334733749993,874.0128264500001,1184.4394288199996,,,,,,,,,,,
