,AMZN-USD,ARKF-USD,ARKG-USD,ARKK-USD,ARKQ-USD,ARKW-USD,ARKX-USD,BABA-USD,BCH-USD,BCO-USD,BTC-USD,BYDDF-USD,COIN-USD,CQQQ-USD,DFI-USD,DIS-USD,DOGE-USD,EEM-USD,ETH-USD,EUR-USD,FB-USD,GLD-USD,GLO-USD,GME-USD,GOOGL-USD,INTC-USD,KRBN-USD,LTC-USD,LZAGY-USD,MA-USD,MARA-USD,MCHI-USD,MIN1000,MIN200,MIN350,MIN500,MSFT-USD,MSTR-USD,NFLX-USD,NLLSF-USD,NSRGY-USD,NTDOF-USD,NVDA-USD,OTGLY-USD,PATH-USD,PDBC-USD,PLTR-USD,PYPL-USD,QQQ-USD,RBLX-USD,RIOT-USD,SEDG-USD,SGD-USD,SI-USD,SLV-USD,SNAP-USD,SOXL-USD,SOXS-USD,SOXX-USD,SPY-USD,SQ-USD,SQNXF-USD,SQQQ-USD,TCEHY-USD,TLRY-USD,TLT-USD,TQQQ-USD,TSLA-USD,TTWO-USD,TWTR-USD,U-USD,UBER-USD,URTH-USD,USDC-USD,USDT-USD,V-USD,VNQ-USD,VOO-USD,XAG-USD,XAU-USD,XCU-USD,nbLiquidation,nbLoans,nbVaults,sumBTC,sumDFI,sumLoanDUSD,sumInterest,sumLoanTSLA,sumUSDC,sumUSDT,AAPL-USD,AMD-USD,sumLoanAAPL,sumLoanARKK,sumLoanBABA,sumLoanGLD,sumLoanGME,sumLoanGOOGL,sumLoanPDBC,sumLoanPLTR,sumLoanQQQ,sumLoanSLV,sumLoanSPY,sumLoanTLT,sumLoanURTH,sumLoanVNQ,burnedAuction,burnedPayback,MIN150,MIN175,sumDUSD,sumLoanLiquidationAAPL,sumLoanLiquidationARKK,sumLoanLiquidationBABA,sumLoanLiquidationDUSD,sumLoanLiquidationGLD,sumLoanLiquidationGME,sumLoanLiquidationGOOGL,sumLoanLiquidationPDBC,sumLoanLiquidationPLTR,sumLoanLiquidationQQQ,sumLoanLiquidationSLV,sumLoanLiquidationSPY,sumLoanLiquidationTLT,sumLoanLiquidationTSLA,sumLoanLiquidationURTH,sumLoanLiquidationVNQ,sumLoanAMZN,sumLoanLiquidationAMZN,sumLoanCOIN,sumLoanEEM,sumLoanLiquidationCOIN,sumLoanLiquidationEEM,sumLoanLiquidationNVDA,sumLoanNVDA,burnedDFIPayback,dexfeetokens,dfipaybacktokens,sumLoanFB,sumLoanLiquidationFB,sumLoanLiquidationMSFT,sumLoanLiquidationNFLX,sumLoanLiquidationVOO,sumLoanMSFT,sumLoanNFLX,sumLoanVOO
2022-01-14 04:02:17.814714,3224.15546102,35.49258141,51.05174687,79.98283038,70.7928604,102.98053739,17.51703969,131.37751138,384.12153794,74.172,42761.94122284,33.16459054,228.24295004,59.78411212,2.99230142,155.46553666,0.17665352,50.12453827,3273.24386192,1.14747,326.51250921,170.16225606,11.00140659,122.49195517,2772.17875502,54.94596265,50.67550234,138.99564702,72.90941098,369.52388808,28.0999361,63.19835146,36.0,1508.0,149.0,118.0,304.87364557,489.63167399,519.22601648,1.61000126,132.23798364,457.44315875,265.85392154,12.06472586,37.6100126,14.55700889,16.01006152,181.01001565,377.59365428,80.18231841,20.14142545,260.43003932,0.74309111,136.34012362,21.3288379,38.37517581,60.20028158,3.73998519,522.55868589,464.4943068,136.93319191,49.88918553,6.33990378,59.53947044,6.86420456,144.27756215,152.68059256,1032.28864519,154.81326402,38.69985224,116.60162912,42.87271696,133.04029418,1.00000654,1.00021198,215.04639939,110.43615142,427.03403182,22.483725,1786.85375,4.3394,781.0,9146.0,7851.0,936.899934339998,51504487.281299934,76287023.09152965,107399.20114566966,1808.6668526099984,15346072.573546542,10993685.585617486,172.24141359,132.75246501,6809.506789809997,8444.948838539998,8092.788458399999,3716.51459784,15549.098202519992,235.75416391999983,31336.34174247001,60902.285401350055,3750.6881385900015,34579.01446003002,5184.03761643,4255.814427160002,2386.7688286800008,3056.6844511300005,97233.49430887,75017.65920487,4836.0,410.0,0.0,4914.953319119999,5553.281020369999,6414.986237950001,0.0,967.37298702,5070.334034769999,236.1124197700001,18220.228627380005,22686.85516741001,3018.598799100004,11316.065914429995,3900.736191099996,837.7940639800003,3975.151285129992,991.0421717600004,1857.91679905,,,,,,,,,,,,,,,,,,,
2022-01-14 05:02:23.119800,3224.22128279,35.49312393,51.05188172,79.98356134,70.79545353,102.97992471,17.51709116,131.37531385,384.24538564,74.172,42761.84370627,33.1656404,228.24107294,59.78449804,2.99084834,155.46896385,0.18719577,50.12444129,3279.85934421,1.14741,326.51353468,170.15858528,11.00155546,122.49316262,2772.20721309,54.94592986,50.67578185,138.67047758,72.91044241,369.5238484,28.10008633,63.19924857,36.0,1508.0,149.0,118.0,304.87469077,489.62894406,519.22608367,1.60998226,132.23901055,457.44650956,265.85397228,12.06502162,37.60947727,14.55726772,16.0099186,181.00887572,377.58950917,80.18234392,20.14163029,260.42898684,0.7433231,136.34187718,21.32846946,38.37559837,60.20048914,3.74002112,522.56234223,464.48849732,136.93531158,49.88946882,6.33990378,59.53980957,6.86423684,144.27548216,152.68059256,1032.30306351,154.81241619,38.70000714,116.60264809,42.87312042,133.04005314,0.99972528,1.00025161,215.04520271,110.4354844,427.0381245,22.483725,1786.85375,4.3394,772.0,9147.0,7851.0,937.099978449998,51480106.022377,76352821.25526002,107740.7774226501,1808.6725935199995,15313747.78414302,10993685.585617486,172.24051645,132.75144124,6809.715772249999,8504.253245189997,8092.821214779999,3716.530800520001,15510.385671560003,235.3575533200001,31336.483881020016,61055.15439388003,3776.671193730001,34576.855565660015,5185.807447970001,4264.255780200003,2386.7791319000003,3056.6981352799994,97233.49430887,75018.92451343,4837.0,409.0,0.0,4970.96923681,5636.504936379999,6117.051598050001,0.0,937.5682634199997,4993.691339259998,231.52900801000007,18208.11685828001,22889.132823590004,3036.115252179997,11529.499730889996,4088.132063609997,837.7943351800002,3924.926214329987,991.04293466,1854.83085771,,,,,,,,,,,,,,,,,,,
2022-01-14 06:02:49.792245,3224.1709774,35.49246536,51.05076858,79.98209908,70.79480304,102.98110535,17.51711498,131.37640717,388.34446139,74.172,42801.870407,33.16487497,228.23896977,59.78417351,3.00148073,155.46758533,0.19148745,50.12354415,3285.15228294,1.14801,326.51838313,170.16298509,11.00129227,122.49218817,2772.18576665,54.94552757,50.67606752,139.3166458,72.90950023,369.52122644,28.10013676,63.19804047,36.0,1510.0,149.0,118.0,304.87577131,489.62749667,519.23156117,1.60999482,132.23941285,457.4511423,265.85129197,12.0648747,37.60981427,14.55728838,16.01014601,181.01056538,377.58848128,80.18297465,20.14167199,260.42998906,0.74434114,136.34216796,21.32888183,38.37609664,60.20057085,3.74002995,522.56011978,464.49115114,136.93652183,49.88963088,6.33990378,59.54010596,6.8642566,144.27589374,152.68059256,1032.30474732,154.81410128,38.70021953,116.60350084,42.87307761,133.03952796,0.99993464,1.00018653,215.04500015,110.43452465,427.0444624,22.483725,1786.85375,4.3394,786.0,9159.0,7850.0,936.9178798599978,51469661.173188895,76485270.85147916,108090.96957643016,1808.3279632099989,15348574.85663328,10981919.840427307,172.24238939,132.75031874,6849.086710710003,8689.89539396,8109.851400979999,3718.439074199999,15738.281793889984,235.37025023,31028.043097269987,62165.04043840999,3839.43707837,34810.93403307001,5185.851044869997,4344.389425629997,2389.5222923399992,3056.71337783,97233.49430887,75044.38468768,4839.0,409.0,0.0,4958.759566219999,5636.504936379999,6210.324368589999,0.0,964.5464990199996,5004.653359099999,227.2551546800001,18167.13183729001,23243.156264970006,3036.115252179997,12473.854619069996,4092.8136599199975,778.5781039100004,4143.105572149988,988.31309311,1857.91830115,,,,,,,,,,,,,,,,,,,
2022-01-14 07:02:53.736244,3224.24051583,35.49300409,51.05142813,79.98286556,70.79353068,102.97876224,17.51713354,131.37527931,389.21384041,74.172,42869.85243831,33.16524812,228.24172759,59.7846472,2.99699895,155.46926969,0.19731703,50.12444811,3302.0486264,1.14751,326.51388222,170.15945811,11.00140512,122.48932278,2772.19536711,54.94530413,50.67600817,139.26010075,72.90955649,369.51875102,28.09971843,63.19921227,36.0,1511.0,149.0,118.0,304.87765463,489.63566955,519.23325721,1.60999488,132.23955031,457.4365609,265.85535173,12.06487065,37.60988907,14.55695409,16.00982069,181.00944543,377.58895777,80.18264974,20.14139479,260.43230783,0.74392031,136.3425852,21.3287305,38.37593601,60.20077859,3.7400078,522.56113406,464.49124135,136.93828217,49.88947143,6.33990378,59.54105913,6.86427605,144.27615703,152.68059256,1032.28770264,154.81208056,38.70024731,116.60444898,42.87230974,133.04217817,0.99981789,1.00016714,215.04527941,110.43676633,427.046364,22.483725,1786.85375,4.3394,779.0,9166.0,7849.0,935.7504244399976,51462261.11245507,76624463.77212511,108433.7266248601,1809.05248357,15352844.13158547,11007944.954079667,172.24213666,132.7511022,6846.733208599992,8729.784576959997,8124.85849623,3718.954517870001,15975.072686420006,236.51247174,31106.48026639,62165.30660973997,3844.75975664,34861.08284771998,5194.560192719999,4400.409251009997,2389.58652404,3056.7265842099987,97233.49430887,75046.57767514,4838.0,408.0,0.0,4958.75976872,5636.504936379999,6290.538377459998,0.0,964.5465023199998,5070.338992269999,240.18611715,17607.961645820007,23224.107879530005,3036.115252179997,12473.855651069996,4092.8172524199977,836.1145346900004,4125.2262966399885,988.31314951,1857.91835695,,,,,,,,,,,,,,,,,,,
2022-01-14 08:02:34.517332,3224.18973989,35.49308101,51.05139959,79.98295837,70.79336246,102.98001108,17.5172969,131.37538078,387.88483153,74.172,42749.70913465,33.16484513,228.23996486,59.78477679,2.97355136,155.46801351,0.19679853,50.12439304,3279.10211013,1.14714999,326.51489036,170.16374908,11.00154042,122.4911092,2772.17764341,54.94531229,50.67555079,138.87911365,72.91028534,369.51902317,28.09992427,63.19942001,36.0,1511.0,149.0,118.0,304.87483585,489.62740363,519.22179606,1.61000439,132.23747646,457.44520018,265.85090898,12.06488024,37.61018806,14.55718248,16.00992132,181.00882912,377.59407678,80.182539,20.1410359,260.42786208,0.74392031,136.34174638,21.32873786,38.37551949,60.19984185,3.73997614,522.56413932,464.50307606,136.93555176,49.89063844,6.33990378,59.53917768,6.86428372,144.27590438,152.68059256,1032.2953987,154.81245501,38.69987469,116.60482289,42.87302075,133.04106033,0.99895336,0.99945749,215.04355173,110.43704991,427.03961978,22.483725,1786.85375,4.3394,708.0,9189.0,7852.0,935.209046819998,51460382.49764536,76784849.81375074,108761.17867219997,1809.2581814099992,15374149.451508274,11004635.612057498,172.24113675,132.74994552,6860.76839127,8937.387837119993,8109.412051470001,3729.316488220001,16048.114144250005,240.6902824,31162.229106380008,62392.63008654995,3853.0965922200007,34832.613254030024,5204.919945699995,4535.429856230001,2389.6083897600006,3051.2601580200017,97233.49430887,75059.21258355,4843.0,409.0,0.0,4876.423878289999,5636.504936379999,6230.671839329997,0.0,880.0282743299998,4873.741648769998,217.78407356000005,17372.997773230003,17147.102855620004,3036.115252179997,11878.160923629996,4064.683925309997,825.5609051700003,4142.552931449988,935.89882104,1643.23338847,,,,,,,,,,,,,,,,,,,
2022-01-14 09:02:23.619183,3224.19066547,35.49277962,51.0515565,79.98447841,70.79506267,102.97878172,17.51716551,131.37535772,386.12059493,74.172,42547.9934445,33.16485731,228.24253631,59.78413667,2.95726178,155.46893957,0.1946083,50.12403488,3254.68224373,1.14743,326.51419513,170.16192948,11.00133398,122.49240711,2772.14813603,54.94571314,50.67650305,137.64480251,72.91090366,369.52506863,28.09967879,63.19849287,36.0,1510.0,150.0,118.0,304.87537818,489.63056752,519.22791456,1.61001296,132.24008897,457.44862482,265.85265489,12.06503521,37.61014095,14.55707661,16.01000485,181.00951163,377.58775542,80.18315835,20.14134665,260.42719143,0.74408083,136.33887067,21.32834247,38.37551493,60.1999958,3.74001652,522.56975056,464.49776956,136.93461874,49.89032044,6.33990378,59.54027363,6.86423105,144.27575844,152.68059256,1032.28293972,154.8126471,38.70008997,116.60364882,42.87347404,133.03936133,0.99976637,1.00020468,215.04951486,110.43643665,427.0439757,22.483725,1786.85375,4.3394,626.0,9122.0,7857.0,932.065625419998,51371976.67033546,77018336.37324233,109101.8544122001,1791.99570493,15400108.469563732,11000688.223902598,172.24141913,132.75266146,6583.045647410002,8798.854942889999,8081.976084550001,3684.2829568400007,15397.708065859984,225.30714095999983,28725.34033883999,60077.18619781999,3811.85746897,33859.56871321001,5215.797723600005,5025.74196111,2366.105030690001,2994.71052489,97233.49430887,75071.55836962,4827.0,410.0,0.0,4173.893731239998,2542.13018967,3856.606611970001,0.0,589.1815120299998,4201.93930865,211.4887613600001,12166.69342398,21152.87923196,1979.670940560001,10825.78566638,2128.4209533799994,646.38038424,3103.6861905100013,822.4925893599998,1654.23600359,,,,,,,,,,,,,,,,,,,
2022-01-14 10:02:12.468083,3224.2287064,35.49274605,51.05125462,79.98258932,70.79493895,102.9800882,17.51721518,131.37586422,386.8703936,74.172,42602.2330764,33.16552521,228.24066159,59.78388943,2.96974924,155.46944757,0.19830425,50.12346496,3265.27300167,1.14595,326.52119519,170.15965983,11.00140873,122.49109822,2772.19865944,54.94529492,50.6751975,137.90640133,72.91100248,369.52812464,28.10011497,63.19897395,36.0,1510.0,148.0,118.0,304.87237147,489.63498443,519.2332905,1.6099974,132.23991639,457.4461626,265.8512496,12.0651011,37.60993729,14.55727768,16.01008631,181.00713252,377.59623586,80.18285414,20.14104495,260.43143755,0.7434502,136.34211603,21.32855705,38.37559856,60.20022916,3.73992858,522.56150197,464.48925546,136.93740502,49.89004089,6.33990378,59.54010704,6.86430298,144.2766716,152.68059256,1032.30752253,154.81014769,38.70032866,116.60402103,42.87323605,133.03907884,0.99997966,1.00019163,215.04441626,110.43611457,427.04336829,22.483725,1786.85375,4.3394,782.0,9124.0,7858.0,932.737765189998,51384459.66569411,77093795.34295881,109453.52608961036,1792.0181804499975,15449329.604030652,11018165.938978989,172.24099738,132.75173965,6516.058529660007,8904.794428259987,8074.916218459996,3681.49699173,15408.320736080002,227.40255551,28637.934394150005,60157.17627563002,3817.151800800004,33927.69152773,5190.515757200005,5243.253887249999,2368.2603388799994,3002.72914867,97489.63203763,75087.60225722,4832.0,410.0,0.0,5127.66121412,5538.299703379999,6397.943252039994,0.0,962.25232262,5781.07341975,253.9621325800001,20509.78555601,25466.05681166999,3009.4611688499954,12967.695708660003,3826.699240889998,661.6524703599999,4145.457734819997,1004.34796066,1636.226502139999,,,,,,,,,,,,,,,,,,,
2022-01-14 11:02:22.805537,3224.18667925,35.49293087,51.05161287,79.98325949,70.79377293,102.98051271,17.51722996,131.37520581,386.30082181,74.172,42571.08140693,33.16510143,228.2391992,59.78411399,2.97894174,155.46920638,0.19761174,50.12465445,3256.51231522,1.1458,326.51619404,170.16016326,11.00141134,122.49161175,2772.14416728,54.9456158,50.67579156,138.23356155,72.90969624,369.5168808,28.0998506,63.19886241,36.0,1510.0,148.0,118.0,304.87863299,489.6321495,519.22672885,1.60999367,132.24093412,457.44202489,265.85336989,12.06508395,37.60967812,14.55729819,16.00995979,181.01095933,377.59181417,80.18115525,20.14138398,260.42888033,0.74330099,136.34243598,21.32884718,38.37592956,60.20029014,3.74003192,522.57535253,464.48829401,136.93499735,49.89006514,6.33990378,59.53907163,6.86432336,144.27628443,152.68059256,1032.30422372,154.81237867,38.70039024,116.60213032,42.87280669,133.03999325,0.99990799,1.00019281,215.04203805,110.43513246,427.04050718,22.483725,1786.85375,4.3394,698.0,9144.0,7861.0,933.185165679998,51389562.983686686,77177261.16255699,109803.3273672999,1796.5740467900005,15455484.155508865,11022975.556490058,172.24144012,132.75242636,6516.084426850001,8984.091089249992,8074.949014700005,3681.513142919999,15446.991302060018,227.66674651000008,28638.06364836999,60292.94276142003,3824.043642779997,33904.29883667,5200.535785610002,5260.716882599999,2368.2706259599995,3002.74263237,97489.63203763,75093.37475372,4835.0,410.0,0.0,4843.759741500002,5433.899546819999,5548.030299549997,0.0,882.52078968,5374.141864320001,236.58830533000008,19417.77858069,24578.328474319987,2218.24922513,12422.411847310004,3851.799970210001,591.0173682300001,3852.8454401700064,849.0283314900001,1480.2021196599992,,,,,,,,,,,,,,,,,,,
2022-01-14 12:02:18.901635,3224.24470785,35.37001818,51.04971463,79.98087886,70.76008804,102.97972853,17.51989175,131.36869548,381.45655419,74.172,41980.0909136,33.16651795,228.22801641,59.75130013,2.9416349,155.43808747,0.18772636,50.13056981,3205.03781645,1.14516,326.48095175,170.16245488,11.01015127,122.48232565,2771.76060925,54.93978801,50.69018503,137.69486898,72.91081599,369.52011991,28.09980032,63.20004331,36.0,1509.0,148.0,118.0,304.79908958,489.59375768,519.20085568,1.60997845,132.24009643,457.44321907,265.7466205,12.06496595,37.610417,14.56023032,16.01017482,181.01270169,377.66304059,80.18042534,20.1498063,260.43152067,0.74327337,136.36998184,21.33002336,38.38061009,60.1997012,3.7399817,522.65289606,464.53050206,136.94946276,49.89004027,6.33990378,59.53959194,6.86995513,144.27753714,152.68059256,1031.56918666,154.82997906,38.70000453,116.5799118,42.86964183,132.9779759,0.9997441,0.99877441,214.99574302,110.47018534,427.1059444,22.483725,1786.85375,4.3394,788.0,8849.0,7869.0,930.4714719499984,51194829.3105239,77084582.47856785,110133.43152746982,1791.791228129999,15406217.887831774,11003293.617447684,172.19121647,132.7372764,6348.899281509999,8530.751477539998,7860.156472429997,3580.0309059700003,14765.39203819999,216.2712225,27666.673276580004,59649.956380250005,3763.159706620002,32875.92295852001,5171.5512908000055,5029.381259169997,2265.73552889,2887.43969894,97489.63203763,75107.03513845,4719.0,410.0,0.0,5052.038890640002,5671.301053689999,6324.748778879996,0.0,1001.97502552,5792.920072509999,251.8201032900001,20644.07755642999,25702.887921749985,3063.988101580001,13293.462763370002,4132.82348017,671.9541972700001,3945.078137030004,758.34875644,1906.3162439999987,,,,,,,,,,,,,,,,,,,
2022-01-14 13:01:53.313006,3224.2518995,35.37064101,51.04878106,79.98029966,70.76102439,102.97935365,17.52025594,131.36811426,382.91635961,74.172,42126.75055351,33.16569517,228.22765463,59.75059889,2.95505962,155.44002988,0.19142793,50.12952605,3230.19746136,1.14485,326.47746441,170.16196087,11.00993008,122.47882265,2771.74323817,54.93942321,50.6904036,139.39850385,72.91113798,369.51864685,28.10013397,63.20002089,36.0,1509.0,148.0,118.0,304.79588458,489.58965141,519.19893602,1.61001933,132.23829422,457.44347685,265.74929628,12.06484028,37.60974022,14.56011447,16.01021047,181.01172365,377.65742277,80.18034254,20.15020419,260.42926154,0.74298621,136.37058304,21.32977867,38.38013018,60.2002365,3.74007425,522.65917945,464.52402382,136.94824066,49.89111283,6.33990378,59.5387446,6.87004925,144.27855609,152.68059256,1031.55709124,154.8323514,38.69998377,116.58162666,42.8695796,132.98051019,1.00009195,1.00015991,214.99970894,110.46901183,427.10477098,22.483725,1786.85375,4.3394,912.0,8896.0,7878.0,930.7732781899985,51210553.33570984,77124753.98230933,110419.67760995004,1796.1610227299975,15417848.784544095,11040223.490943847,172.19243905,132.74013365,6442.814407529998,8588.547845780004,7860.187390359998,3673.752985349999,14768.457093100003,218.4798141100001,27719.247676870007,59622.340314820016,3765.275110189999,33345.07556449999,5169.467345580001,5029.38533262,2353.45274966,2985.89700561,97489.63203763,75144.26035435,4737.0,410.0,0.0,5394.243781710004,6104.644950230001,6685.871385479995,0.0,1006.68242385,6055.565613379997,260.81297957,21591.893900769992,26390.381982159983,3131.14981626,13652.27329331,4019.6356703000006,901.73352533,4090.326874680005,1032.93453583,1890.4832414899988,,,,,,,,,,,,,,,,,,,
2022-01-14 14:02:06.647077,3214.00769717,35.37063783,50.93416261,79.68165651,70.7605869,102.7284584,17.52003688,131.37160347,383.42585195,74.172,42269.69178596,33.16516126,226.30590881,59.75014176,2.96699464,154.48677057,0.19198897,50.1299221,3225.16334514,1.14409,325.58001423,170.15930123,11.0101073,121.61218405,2761.65254359,54.93958759,50.69042872,143.03549244,72.910351,369.52847836,27.94017337,63.19899329,38.0,1508.0,148.0,118.0,304.04874651,489.59100472,519.20124623,1.61002006,132.23873564,457.44775995,264.04019338,12.06498525,37.60950608,14.56010691,15.92493436,180.39169804,376.92100419,80.17951422,19.96320724,260.42763811,0.74268271,136.36835432,21.32997028,38.12880941,59.83593353,3.73997418,522.64603814,463.72454345,136.06611946,49.88979238,6.33990378,59.54044189,6.87009708,144.28167506,152.68059256,1018.48278657,154.83071201,38.54310924,116.57975902,42.87108984,132.98089435,0.9995379,1.0001282,214.64222942,110.46845959,427.09225339,22.483725,1786.85375,4.3394,912.0,8928.0,7884.0,930.1124341999986,51290724.02330559,77164638.75412491,110599.37606624023,1814.132466509999,15439902.748861415,11046637.104320616,171.57646342,131.7624932,6493.188139969998,8711.27655574999,7860.218565300002,3715.7687553699984,14846.1414993,222.7796791700001,27719.25864928999,59922.55690075002,3785.49160097,33201.87655088,5245.542112229994,5079.632126229997,2353.4627366200007,2985.91018247,97489.63203763,75215.83648386,4742.0,410.0,0.0,5394.243781710004,6104.644950230001,6676.355067959996,0.0,1008.80968301,5937.415953529997,262.05336351,21564.61565313,26424.062892009984,3131.14981626,13733.658012770002,4082.390975260001,903.48009025,4137.417189540007,1032.93453583,1924.190122789999,,,,,,,,,,,,,,,,,,,
2022-01-14 15:02:20.517835,3233.55574755,35.44514991,51.40251766,80.57347591,70.75879187,103.50158553,17.53202548,132.70446888,388.45902058,74.172,42712.92234844,33.21958071,229.60520177,60.62100138,3.00305889,152.25667013,0.1934156,50.11631388,3249.18905442,1.14396,327.97404194,170.21716345,10.97706152,120.2053402,2789.18493994,54.94510971,50.92877949,145.52914512,72.55557512,371.80695389,28.46216845,63.61251674,38.0,1508.0,148.0,118.0,306.32314153,493.01285963,519.39571311,1.59801697,132.30628747,462.3426086,267.73073573,12.05377853,38.00595289,14.62941451,16.08064876,181.13951631,378.21399962,80.55791709,20.25447414,263.44688557,0.74253933,136.86764705,21.28573417,38.15903501,61.19850114,3.68282325,525.84635734,463.40160894,137.55087088,49.41246184,6.33990378,59.76112293,6.89792078,143.42641496,152.68059256,1035.26939048,154.24910062,38.7997967,117.78433185,42.30074012,132.64397516,1.00517659,1.00518959,216.3650094,109.85127002,426.00908364,22.483725,1786.85375,4.3394,881.0,9020.0,7891.0,931.4834116899988,51346387.8025717,77207552.76314698,110836.08624142015,1813.3238191099983,15514583.582404943,11088718.7474035,172.57894971,134.14885365,6609.963405919999,8726.414723389991,7860.253877590004,3725.029015749998,15661.955056560006,225.09286991,28730.09867437001,60153.46710713999,3834.4044908400015,33622.09118546001,5245.564702939993,5085.6602915999965,2307.394689130001,3006.1861448899995,97491.71245585,75253.90337018,4770.0,409.0,0.0,5116.6755267100025,5728.0959931900015,6670.370867219996,0.0,967.3578273200002,5387.415803089999,240.09803868,20037.605278719995,23386.13940486,3087.85551371,13196.30749594,4155.082675869999,894.7459791400001,3894.508873510005,999.78140526,1834.72660646,,,,,,,,,,,,,,,,,,,
2022-01-14 16:02:07.623313,3215.31726909,34.95884068,50.88276822,79.47627078,70.49127825,102.33422238,17.45953969,132.12868027,389.03590718,74.172,43093.76111339,33.39089785,226.23685805,60.3761425,3.0137708,151.16828153,0.19428771,50.06231844,3282.18588879,1.14296,328.89604654,170.17282095,10.94357429,119.17386436,2788.10569346,54.99113319,50.7814049,144.89808786,72.48165516,371.77383736,28.11402349,63.43460675,38.0,1508.0,148.0,118.0,307.1111937,492.21686306,516.15163812,1.5939781,132.38853734,458.77990563,266.96056085,12.10565546,37.24297732,14.62356897,15.89204439,179.46689136,377.34178257,79.28563125,20.12269247,257.10768523,0.74233538,134.28856278,21.27092424,37.46468956,61.13063415,3.69404515,525.31620511,462.96303183,134.22107127,48.93328111,6.33990378,59.98297848,6.77660955,143.21994043,152.68059256,1033.43288457,152.17159546,38.16377078,116.96868901,41.54124174,132.59330663,1.00518622,0.9995281,215.54142023,109.52924175,425.57380255,22.483725,1786.85375,4.3394,827.0,9103.0,7902.0,929.1883785199984,51387260.85312413,77280340.53694332,111271.3283440201,1811.5499208000008,15580070.686337464,11104534.668894826,172.27015631,133.60290624,6567.95895527,8753.515746739997,7862.458001560003,3727.8405952899993,16027.388385890004,221.0505126200001,29003.551425159985,59797.88184503002,3814.015836840004,34024.057082059975,5316.379656519999,5146.112849680001,2293.68672538,3005.656117269998,97492.93537852,75284.3887065,4814.0,409.0,0.0,4813.615931710003,5600.024584100001,6457.870480739999,0.0,985.8072722199998,4840.478374509999,254.93860914999988,20130.918134039985,26286.578495179994,3026.9565428200003,12591.589536140003,3943.76647281,850.5630231500004,4099.769122850005,1028.59229879,1897.49833315,,,,,,,,,,,,,,,,,,,
2022-01-14 17:02:20.903170,3225.19903097,34.89674877,50.6526298,79.37514324,70.35901219,102.16646396,17.39743,131.0019622,391.53043747,74.172,43177.95946615,33.37097744,225.77933096,60.28474983,3.02493343,151.29151001,0.19368277,50.02685888,3288.26931212,1.14102,329.64095619,169.94966153,10.93908471,118.86256663,2790.37210256,55.41946046,50.9394924,144.93211513,72.10597652,370.18542561,28.28705569,63.32810585,38.0,1508.0,148.0,118.0,307.01670974,491.67164401,518.04373727,1.58997752,132.27835839,459.19368741,268.52649348,12.08697368,37.11193936,14.62481561,15.87367223,179.50650029,378.45486497,79.52127273,20.37124559,255.42755728,0.74188379,134.93854885,21.2197483,37.63397082,62.41210319,3.60371597,529.32770435,463.37033601,133.77620418,48.93310519,6.33990378,59.83627828,6.77418227,143.12560086,152.68059256,1038.7299188,152.176687,38.21239495,117.24226275,41.55282106,132.55906398,1.0053331,1.00015073,215.34837433,109.17702933,425.95624028,22.483725,1786.85375,4.3394,872.0,9131.0,7908.0,931.4328125999986,51420577.58032165,77293611.5041163,110618.01425708026,1816.7954707999984,15575813.242995445,11101018.499658303,172.47411872,135.41730245,6675.864075559998,8708.472059309986,7863.49065833,3727.85753024,15745.41893411,221.78379624,29003.68695574001,61031.00264373001,3824.87180341,34105.06223074001,5331.065185740004,5086.951824929997,2320.3811307100004,3006.0462354700003,97492.93537852,75667.98647638,4810.0,409.0,0.0,5014.106451020001,5983.32595122,6514.666531119999,0.0,997.6731132999998,5006.482963150001,262.6673270299999,20345.481820839985,26362.02406508,3129.4115210600003,13288.875498870006,4099.082865890001,851.8199542400002,4151.420300880001,1024.96950225,1918.5061341800003,,,,,,,,,,,,,,,,,,,
