,QuantumLiquEthereum_Cold_DFI,QuantumLiquEthereum_Cold_ETH,QuantumLiquEthereum_Cold_EUROC,QuantumLiquEthereum_Cold_USDC,QuantumLiquEthereum_Cold_USDT,QuantumLiquEthereum_Cold_WBTC,QuantumLiquEthereum_Hot_DFI,QuantumLiquEthereum_Hot_ETH,QuantumLiquEthereum_Hot_EUROC,QuantumLiquEthereum_Hot_USDC,QuantumLiquEthereum_Hot_USDT,QuantumLiquEthereum_Hot_WBTC
2023-03-15 07:02:08.731173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49494173,19420.074403,2.8007,313.870103,0.00930569
2023-03-15 08:02:16.962144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,19364.558443,2.8007,313.870103,0.00930569
2023-03-15 09:02:04.526773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,11581.145613,2.8007,313.870103,0.00930569
2023-03-15 10:02:07.080546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,15886.533163,2.8007,313.870103,0.00930569
2023-03-15 11:01:45.093663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,15886.533163,2.8007,313.870103,0.00930569
2023-03-15 12:02:02.069365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,15886.533163,2.8007,313.870103,0.00930569
2023-03-15 13:01:45.152114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,15886.533163,2.8007,313.870103,0.00930569
2023-03-15 14:02:04.132795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,15886.533163,2.8007,313.870103,0.00930569
2023-03-15 15:01:37.739692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,15886.533163,2.8007,313.870103,0.00830869
2023-03-15 16:01:50.196834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,15886.533163,2.8007,313.870103,0.00830869
2023-03-15 17:01:29.807473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,15886.533163,2.8007,79.159823,0.00830869
2023-03-15 18:01:33.802962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,16076.533163,2.8007,79.159823,0.00830869
2023-03-15 19:01:25.139640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,16076.533163,2.8007,6343.867823,0.00830869
2023-03-15 20:01:42.719628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,16076.533163,2.8007,6343.867823,0.00830869
2023-03-15 21:02:13.922606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,16080.533163,2.8007,6244.167823,0.00830869
2023-03-15 22:01:33.870284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632173,16080.533163,2.8007,6244.167823,0.00830869
2023-03-15 23:01:45.002577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,16080.533163,2.8007,5595.120823,0.00830869
2023-03-16 00:04:10.704093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,16080.933163,2.8007,2249.188823,0.00830869
2023-03-16 01:01:59.150563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,16080.933163,2.8007,2249.188823,0.00830869
2023-03-16 02:01:49.893365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,6080.933163,2.8007,55.788823,0.00830869
2023-03-16 03:01:37.932035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,6080.933163,2.8007,55.788823,0.00830869
2023-03-16 04:02:13.242557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,6080.933163,2.8007,55.788823,0.00830869
2023-03-16 05:01:53.780181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,9845.013063,2.8007,55.788823,0.00830869
2023-03-16 06:01:50.278605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,27798.088213,2.8007,55.788823,0.00830869
2023-03-16 07:02:06.094073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,6298.088213,2.8007,55.788823,0.00531769
2023-03-16 08:01:54.981804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,1714.488213,2.8007,55.788823,0.00531769
2023-03-16 09:01:59.165027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,10185.393423,2.8007,55.788823,0.00830769
2023-03-16 10:01:56.722590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,19198.928383,2.8007,55.788823,0.00830769
2023-03-16 11:01:35.883653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,20898.928383,2.8007,55.788823,0.00830769
2023-03-16 12:02:10.170553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,22609.928383,2.8007,55.788823,0.00830769
