date,nbMnId,nbOtherId,fundDFI,mnDFI,otherDFI,foundationDFI,nbMnGenesisId,mnGenesisDFI,nbMnCakeId,mnCakeDFI,erc20DFI,burnedDFI,tokenDFI,nbMydefichainId,mnMydefichainDFI,nbMNlocked10,nbMNlocked5
2020-10-07,303,3032,4155939.16793565,310019715.2079063,56960816.13168806,285584344.49247,2,987150.052029,,,,,,,,,
2020-10-08,303,2459,4170154.18624176,310124630.2141438,57410486.10714444,285584344.49247,2,991440.05216796,,,,,,,,,
2020-10-09,304,2499,4181644.86304682,310199340.1791122,57791285.465371,285584344.49247,3,994170.05149258,,,,,,,,,
2020-10-10,304,2540,4193140.60877262,310285530.1681931,58153399.73056426,285584344.49247,3,997095.05152246,,,,,,,,,
2020-10-11,303,2593,4211821.78026095,310428085.1651176,58739763.56215148,285584344.49247,2,1001580.05152246,,,,,,,,,
2020-10-12,304,2634,4233048.52545888,310549895.20647347,59130296.261579886,285584344.49247,3,1004205.05152246,,,,,,,,,
2020-10-13,304,2685,4278380.72545888,310857425.2106771,59395976.54214319,285584344.49247,3,1006770.05152246,,,,,,,,,
2020-10-14,304,2762,4325424.32545888,311176565.2151438,59802359.52138642,285584344.49247,3,1009335.05152246,,,,,,,,,
2020-10-15,304,2809,4363214.42545888,311432930.2196802,60171190.17785688,285584344.49247,3,1012575.05159598,,,,,,,,,
2020-10-16,304,2835,4378338.42545888,311535530.221341,60393058.49020481,285584344.49247,3,1013385.05159598,,,,,,,,,
2020-10-17,304,2922,4424824.82545888,311850890.329648,60808860.34875248,285584344.49247,3,1017435.05167318,,,,,,,,,
2020-10-18,304,3004,4470057.52545888,312157745.4041332,61195795.73770055,285584344.49247,3,1020810.05182458,,,,,,,,,
2020-10-19,304,3054,4517001.62545888,312476210.4244528,61490546.984680064,285584344.49247,3,1025265.05193388,,,,,,,,,
2020-10-20,304,3118,4562970.62545888,312788060.45845795,61775891.48009412,285584344.49247,3,1029180.05200958,,,,,,,,,
2020-10-21,304,3180,4610869.92545888,313113005.51318765,62363840.33386889,285584344.49247,3,1033095.05208528,,,,,,,,,
2020-10-22,304,3252,4658052.82545888,313433090.569335,62675037.28924979,285584344.49247,3,1036470.05208528,,,,,,,,,
2020-10-23,304,2981,4703126.32545888,311096375.28540194,61679242.896669164,285584344.49247,3,1027425.05213688,,,,,,,,,
2020-10-24,304,3024,4748538.12545888,311154155.2949084,61929532.88716277,285584344.49247,3,1030260.05226418,,,,,,,,,
2020-10-25,304,3057,4794706.12545888,311214365.31216705,62182522.869904034,285584344.49247,3,1031745.05233988,,,,,,,,,
2020-10-26,303,3093,4842346.72545888,311277950.32132065,62442127.86075048,285584344.49247,2,1033635.05233988,,,,,,,,,
2020-10-27,304,3138,4888196.32545888,311327900.3306856,62703217.85138545,285584344.49247,3,1037010.05239148,,,,,,,,,
2020-10-28,303,3176,4934065.82545888,311386625.3316369,62955667.85043417,285584344.49247,2,1039035.05239148,,,,,,,,,
2020-10-29,303,3214,4980194.02545888,311446160.3326069,63209062.84946423,285584344.49247,2,1041330.05244308,,,,,,,,,
2020-10-30,303,3249,5026202.82545888,311505020.33395684,63462322.848114334,285584344.49247,2,1044300.05244308,,,,,,,,,
2020-10-31,303,3568,5070599.72545888,311508935.3334584,63759592.8486127,285584344.49247,2,1045785.05244308,,,,,,,,,
2020-11-01,303,3605,5116130.92545888,311574005.3553395,64003402.82673157,285584344.49247,2,1047270.05244308,,,,,,,,,
2020-11-02,303,3652,5162677.02545888,311629220.4240742,64263952.75799695,285584344.49247,2,1048890.06084308,,,,,,,,,
2020-11-03,303,3688,5208347.52545888,311686595.4341508,64516402.74792025,285584344.49247,2,1050645.06133196,,,,,,,,,
2020-11-04,303,3719,5252545.42545888,311747615.4351256,64755217.746945545,285584344.49247,2,1052805.06133196,,,,,,,,,
