address,balance,mnAddressAPI,timelock,mnAddressCakeAPI
8defichainBurnAddressXXXXXXXdRQkSm,156001261.273845,False,,False
dZcHjYhKtEM88TtZLjp314H2xZjkztXtRc,18354842.01708681,False,,False
dVbEYT4yBaDFHhkHdxuN2qQNbqXRg345za,3120091.11351,False,,False
dTDYArGnSSuAEgQtCJxUqFP6x36uDgc1Tu,983473.43681289,False,,False
dZFYejknFdHMHNfHMNQAtwihzvq7DkzV49,800000.00001,False,,False
8RPZm7SVUNhGN1RgGY3R92rvRkZBwETrCX,594811.03455387,True,,False
8KRsoeCRKHUFFmAGGJbRBAgraXiUPUVuXn,594615.92450195,True,,False
dG7kBThHSopu1TAjPMQbssM5RCzTdHpF1W,480823.04921807,False,,False
dK2x6xMZEh7wif3VcZjZN1z58gZYccJ2t9,453680.4125285,False,,False
dHxnJ5rikrzFSLe7UA72B6k7tP2H2mUdiX,382857.00567898,False,,False
dXYsi8HHTxTizFQKyNJJL6bpJqAVCEJNQA,325699.17952165,False,,False
8QXHag6KxD3iE6Kj48vuzqq4LjkFGsGixw,321054.72359941,True,,False
db8jxAdUBYhCNpwzEEk74oPvQzVWizMaWg,295882.04747879,False,,False
8Lzan4ura19chr9sqcD6PFF5RDGwiRsXaQ,284160.06946377,False,,False
dTb8BT1xAWgNHNAxmDap1azxYY3RoszPuj,215551.0,False,,False
dGzZM6ivhc3Rqzk8FmTSf6DvUcZrVjbBTc,109374.66250603,False,,False
dPR2my7pzwViMYo4hdXQ9hWQH3bBbqDyBC,106646.46127804,False,,False
8Tu1o16szqWxVj2wz8BeBrjKipb3xN2iH9,100976.37551724,True,,False
dR9uUR7vTNF31PRw1EhDbLv9heATZAmfjm,99047.4888225,False,,False
dS8AhCvLC9ENTu3kQ4M5GvdZy9exhYRp3o,91011.98386378,False,,False
dFddn7rB2ddYZUK3dUoRoq1HVUTiVyZdWc,89285.05797391,False,,False
dLGDQuP2Jc6B7Gkh9zPPFFFVgrSJ4dYKdJ,74764.59180366,False,,False
dP7hZA2e9xsKLU2WyjoYXT4H9LfbZetxgc,69207.79997452,False,,False
8T1QZAQNWCvndghqreKDmWFNNNsfqgCChQ,60029.99989377,False,,False
dLcsx9fEQfFbL9rp28EHJwF5RwMfwK44rN,45104.08818498,False,,False
8Proq458GqiGXgpchDUCsnzwvEZUkcvYe6,40019.79677885,True,10 years,False
8YDAS398tg32PVHP66WYjRQGtVq6GS9HbB,39609.00071436,False,,False
8bPQdtuwZ7JAswvVdeFg2Nq96XaLAPXxFS,34379.99983957,False,,False
8GZvfoSDk1hW2BQKziUqzghEErKciuxVb3,32940.00367029,False,,False
dFAwzvWMC2JgzXJYfHeJnsdh2pvhDs38Uk,32792.01308327,False,,False
8ThhzS3R94B866Qz2g9bGWWWQc3sVMKzyM,32759.99983647,False,,False
8FqapPqJPtfu5x8Q8z5r5qHNoemsQJoCat,31319.99983647,False,,False
8Qqobg9LcFmqjV4iYAcvB2VbKnUGR6YKsM,31319.99983647,False,,False
8P2PVK7X7gW92f81xkKmqdrh8M5SWNdcmx,30779.99984079,False,,False
8NfpDRogMAB3gZdPgucHNDg8ZCr5hoBmN8,30600.00076629,False,,False
8TS5zi3c9UGtKR45hDfHR15kkcpoctGw6L,30239.99993411,False,,False
8aHx6hKWzsBDhzWhJXoH5MT9bXBonk8XAi,30060.00105461,False,,False
dJo36jr3MuTrPhMe7NDxowm1uVSwM5H144,30000.0,False,,False
8YJooCF2HUJek69RR76TYdoYcLsP1993nU,29879.99988529,False,,False
8XADV3upkWt4jGs1oz8cTBqXskvy3D5nGg,29699.99988529,False,,False
8XXrVgJFY8199ekPnJWDjdpRTzG5D5rf85,29340.0000131,False,,False
8YUCDthLYBco5sLpLCsQanMLU4e7WH7Hid,29339.99983906,False,,False
8PNruTxeVCQVKVVAEn2DjpAPY72ZHQpLjA,29160.00472974,False,,False
8HneKgGDnvrYRBkyRA4uTmyEAR9DXWNJHJ,29160.00159846,False,,False
8JR5UNHz8FJQxAr6qJcGjqJtQVjKJPA8s3,28172.96667108,True,,True
8SM1HjLYaL7Y3oETE4mwCsbWTta6wvsSNj,28070.60870704,True,,True
8WFeZ3AfSDymxTxiFYa19Y26HeTcASD6mF,28023.28360617,True,,True
8FmgYi35vLR2rkGqwbTNR3YcEExhKh7tSF,27898.78336617,True,,True
8WVM2Noux91Mt8bcKXc6X5GCe9DZxisEyF,27801.05072644,True,,True
8FdZ1uSP8tb6NR9SuzsvfDTM1LVpM3dynk,27785.81800836,True,,True
8YbjUetYcEtjWVD2HJSDC5VWagrWqRHBK1,27766.61388045,True,,True
8Wzx8VrL21Z8d8dkcha37pr5TybSuBGCdG,27753.21714929,True,,True
8GgHyyFYGxBTsaCHyfUvjrY4QSB4jS2jo9,27753.14258224,True,,True
8Rp4G1p1PT5HtuYfMyN5w4iMjTHAWUKNxM,27707.17835749,True,,True
8H9JhA5vghRVUBt77MfBHcsFnNE4dNQULy,27692.05966912,True,,True
8VPrRWwkCJKNPZhw8CgERej3mbEgA4U4BV,27659.27777902,True,,True
8UzEFxqm2zxqLDZHCREVsmS5FuF6gNj6Bb,27652.75520997,True,,True
8Sv8RVYzLWfT4AQddKsThwH3BRDFrqWpLV,27650.80465389,True,,True
8e4qXxmhVSRZdqcRzFP4Si53LhC6NDaUgM,27637.36618547,True,,True
8TAmbedmVkAmB7vMWZERDZhgRomtwJquxc,27613.86190278,True,,True
8dMZoroN22K4UKDXBFUFMDhWpf59ev2Jds,27602.79342964,True,,True
8ZpW7wfpaPRjcJxBGxCPsmCLNQ7QsnDTE5,27602.49175672,True,,False
8UCE28nHjebs8VsBAqWkenqBCRw3iN1zbU,27543.96007002,True,,True
8PKsgyRJ4pWYcGZ2E3GKMUWEMzzsfE82b8,27543.78221049,True,,True
