address,balance,mnAddressAPI,timelock,mnAddressCakeAPI
8defichainBurnAddressXXXXXXXdRQkSm,156001461.37400824,False,,False
dZcHjYhKtEM88TtZLjp314H2xZjkztXtRc,21477177.38184167,False,,False
dVbEYT4yBaDFHhkHdxuN2qQNbqXRg345za,3120091.1135,False,,False
dPpWgGaPsGrVvcFyG7xhEuqaNguHissCtM,2699999.99199383,False,,False
dZFYejknFdHMHNfHMNQAtwihzvq7DkzV49,800000.00001,False,,False
dHxnJ5rikrzFSLe7UA72B6k7tP2H2mUdiX,609081.92247927,False,,False
dZaeUoS4toLmXcuA7BAsKu84xgDj1NHxuJ,469307.04914493,False,,False
dLia1Vwh6UrMyXkWtmPF1dbofnhdrQQr7L,280553.84313161,False,,False
dQAqPEj7uz39NNeVgMMMA8JnJZvGvLu6ZF,255196.2559991,False,,False
dMN99eNMhTCi2R4w6mbBmrthYQBy4qFj3u,250862.67632375,False,,False
dF3GuAWUE3jy59Ncw9i9Hr54bHRZMPu2bf,250705.97669567,False,,False
8HpLhPLxy1rrFmLF9C8MN4ULyfftbwDWiz,241283.32846482,False,,False
dG2Db32QsMxWysmGTCUFJn7SeRpgCymyE6,177157.83003005,False,,False
dFkKdpFimxY3tKohcyqguS3k91iqXRJiHo,174768.39287843,False,,False
dV4esUd3EZXVgDAVaFdVCvDqhnA9MegUYh,170575.33484183,False,,False
dHrASk7JN5Xu3rVg2z8ojMjEkTebeW1W5s,170448.72363148,False,,False
dNWZAswj9VeG155NmZa12BLaVbycBjLvCq,170252.85512493,False,,False
dGTYwVrNWnKXPNea11gDkf3LsRwYAqkSih,170170.52481448,False,,False
dEyNMa6BVxxkMdQzzdHNqLxNNTcG5gqv45,170148.16579535,False,,False
dTsf5Lt8FHokEgQpNqh2y7HEVsXRfS4kY4,170138.17817603,False,,False
dXN6E37G9orQVTkuacMRLQbBj4BXXXDpm3,170043.81624688,False,,False
dLp37P8e4Cpq6WrcM4WbBgMJEk3CxtiTpy,170023.44898864,False,,False
dZcmVZSbU4HqsShxbMAWtGbTTvwdDaJgLj,169961.99415434,False,,False
dcNoefGRxAHZGVGm4bSzXcQzPF87xNQEkL,169944.38335277,False,,False
da5oqNa5C2h7kmFbQUpE9cotiE75LuQtb9,169729.422398,False,,False
dakKPrzvHzzpS6yBLfUJcT4yF7zfEoU4zQ,169561.67946074,False,,False
dQaCEJF34SynCkq7VQk3gZkxkBrLy5LWKJ,168268.94413154,False,,False
dW14o2gzZAg3nA7gSwy6YC82qjLtR69hMw,160090.45888,False,,False
dXz2YUUA4b1SVej5G6BrQf6Tz5QmsNiDT7,150000.00001,False,,False
dRUCTvV5DzvTz1FYwnEV9f3rBykGC4bNFP,111796.51052957,False,,False
dEp85D8uDYByS2NbJPdTdWnawaENaoBuZX,107579.19577611,False,,False
dLJazdqXiqGgEaEkyXbZTyq5JWFjsUUrrJ,99999.99998791,False,,False
dM7x19R6GPRk2aBDV1Hsg8ps457BHX88Xx,94557.03965134,False,,False
dDrstvHr238ANxQuzn4oyaHwpGpWh6LRxw,85749.81374948,False,,False
dQfmYyERCsP7s1Za6Bk47HhH9Xqbkqr1Y8,85596.23203517,False,,False
dRkiAJDM2m3hKUh9SXECRU1o3xXms9Cx3g,85540.98894477,False,,False
dFdVYDLCUjCdHCVhzNSU91Ax9P6TbYBbRZ,85434.89384183,False,,False
