address,balance,mnAddressAPI
dJEbxbfufyPF14SC93yxiquECEfq4YSd9L,273713999.9999,False
dZcHjYhKtEM88TtZLjp314H2xZjkztXtRc,10770505.19608917,False
8HneKgGDnvrYRBkyRA4uTmyEAR9DXWNJHJ,1325156.38752762,True
8GZvfoSDk1hW2BQKziUqzghEErKciuxVb3,1323371.15903569,True
8FqapPqJPtfu5x8Q8z5r5qHNoemsQJoCat,1313471.37219737,True
8aHx6hKWzsBDhzWhJXoH5MT9bXBonk8XAi,1313321.28826635,True
8PNruTxeVCQVKVVAEn2DjpAPY72ZHQpLjA,1312426.44173063,True
8YJooCF2HUJek69RR76TYdoYcLsP1993nU,1309391.08016026,True
8NeXnnxfaiYJVkrP9AfHPyphNUu1nekAhj,1308011.15946602,True
8Jwby2zCyPjX363JJzxYfKR2HwMCe73w5t,1306736.14955836,True
8bPQdtuwZ7JAswvVdeFg2Nq96XaLAPXxFS,1299806.07878288,True
8crsgK9L83SbbETxGEQXai72j9FDqkpj9E,1299781.27594746,True
8TS5zi3c9UGtKR45hDfHR15kkcpoctGw6L,1297916.04605367,True
8Qqobg9LcFmqjV4iYAcvB2VbKnUGR6YKsM,1296821.07435839,True
8XADV3upkWt4jGs1oz8cTBqXskvy3D5nGg,1296535.91197794,True
8XXrVgJFY8199ekPnJWDjdpRTzG5D5rf85,1295186.01089678,True
8ThhzS3R94B866Qz2g9bGWWWQc3sVMKzyM,1290910.82908891,True
8HoNzZ8LndkQzUh8TgJgHsv7ifBvvqXBLc,1290731.05413435,True
8P2PVK7X7gW92f81xkKmqdrh8M5SWNdcmx,1284116.08739431,True
8NfpDRogMAB3gZdPgucHNDg8ZCr5hoBmN8,1283160.95495544,True
8YUCDthLYBco5sLpLCsQanMLU4e7WH7Hid,1279901.41194288,True
8d15sQSdmA2dsVBJDRpZtTBhw6m9QGfuHc,1276120.8861328,True
8UtmC49EVXMbc6PW35NfmQqtnkenV7KJHJ,1274761.148671,True
8FmEyNVRBP5Y83qni4FmqLdCt44R9YDtAJ,1153226.57454558,True
8FFgJaxnsbv1BrsySJh4tbwjXtBLBXBL52,1000134.9999516,False
8aahtS3p8FYxQro8f7X5J91Tjgv1G1XKFb,1000015.14485598,False
8e8TpERzgMxpLZQCcxWpCYf4qxtMcHSmB2,1000000.0,False
8dybGtHAQLc3gfQrm4fXrRB65sD5fQFXEm,1000000.0,False
8dqMB7VT6p5pJLoLQnFqt7hcEw4oww8pdF,1000000.0,False
8dkP75Hdby9JsekEsuUyyTwBxEbLjpsKrF,1000000.0,True
8dDBEniWkFoPBrECL1bmyjx8xfkg5CdSMa,1000000.0,False
8d4NWtWWLahp1tgPUB4ieCheu11uMHDjKN,1000000.0,False
8cwzureGgJVvZGXosYrpyD9eTFHzGeKfpY,1000000.0,False
8cuBj9KLqphZDK6fmdb7xCh5m6Y4jKHF1v,1000000.0,False
8cp8r3kdCW14o7vA5VZRmumCFRad48YDVp,1000000.0,True
8RUNjYgCHkT56t4C38YaaDvUQcY4HozdcD,1000000.0,True
8bLmyseB3FYoWsJjUnysX7PYryxQBqePuH,1000000.0,False
8R5qpGRV4zqwwXJepv7gbZqqjM4t8noM2s,1000000.0,False
8M3xuHbRLXkg9Yha4ESEb8Vu54xapkURGW,1000000.0,False
8KYnAR5HTuicz1RTChFHjdrcHfiu8kzFye,1000000.0,False
8MdMaTmm8G3C8xif8WCpH8Qucc7UZyWfAq,1000000.0,False
8JtTJmvCeg4hqW2PxhbYn1Lx5Ef8Fcov7D,1000000.0,False
8PpuU4SYebFRiaTN5pQSkDeVRYFrPnxW6x,1000000.0,True
8RXtq1cKEEYRa3E526ksHec5mZFsTH4sze,1000000.0,False
8PEiTaVxjAAjoDpzAJxH9ZfSk7t6ed984x,1000000.0,False
8PmqHSrpURmSi5xa8BQMwrgrW6W1fVSF7s,1000000.0,False
8dB7kZazQgLjDgqkbUTyzqweJn8QPHfDC2,1000000.0,False
8QcXtDN6dCEsf8Bb5SunMCEguJ8wGeY1hs,1000000.0,False
8NRKEMSgVUouHHVxtLpcUDxH2bM1oYZ3jo,1000000.0,False
8TwiEc6MY1QKjmwGLWy7jDrazb2CQksywR,1000000.0,False
8QmWhTavSjGkbdLsETLqXS3YGBcfxBvhZT,1000000.0,False
