address,balance,mnAddressAPI,mnAddressCakeAPI
dJEbxbfufyPF14SC93yxiquECEfq4YSd9L,265713999.8996,False,False
8defichainBurnAddressXXXXXXXdRQkSm,156000001.008125,False,False
dZcHjYhKtEM88TtZLjp314H2xZjkztXtRc,13108007.21952054,False,False
dW8t3YHExPw89Kj2wWkRjswVgzr9BceKVX,984414.49963718,False,False
dZFYejknFdHMHNfHMNQAtwihzvq7DkzV49,800000.0,False,False
8RPZm7SVUNhGN1RgGY3R92rvRkZBwETrCX,631771.0350681,True,False
8KRsoeCRKHUFFmAGGJbRBAgraXiUPUVuXn,626385.93408621,True,False
dEaC4AySxbnTrPz7Vt8z7ain9nRUh4EG1f,584618.0,False,False
dc3GNWEqmdGeHNzuGWiGYx7xMo7vMYCJNw,503966.44962898,False,False
dVQyp6eRwFTo1VMo9jWxkGEGHDtxeVvvgw,502328.68251438,False,False
dKq2NQwzPDHN4eXn3WZeViSnV3KieuSkUP,500575.72577037,False,False
8ci5q3wqjHuGbdTYWng7gz6VyJVgM6EbnJ,336185.85732304,False,False
dQdMKxr1oGu9exFYoDyexqyzHDFyX5fjs9,327041.4369081,False,False
dW95szgdduHdgtzDNHvug36bPj4cptahwz,300000.0,False,False
dXh3V1FfMp9a9AtwUPMNirh9Hek18BLBeF,297621.5377279,False,False
dHxnJ5rikrzFSLe7UA72B6k7tP2H2mUdiX,215849.00628274,False,False
dHgYSZWgvXgu8fVGTtg5j9EMeU3un1AeSK,179989.99972923,False,False
dF5hWKzWWYD7M2im7Yn7fa6o8SnLtRFw9b,116784.62496588,False,False
dYo7HrwEKPA1pE12QuiDd8CawnnVdN3KPr,100009.8,False,False
dLQmbG1CTjLbsGWMx1NNLNjoCJajphwaKd,100000.0,False,False
dUoC8mtyLhqiiM8rWgMxX8aN5z3hpTmC1e,95648.28558762,False,False
dX9BM48ncHeBs1KR8NQJt5DrnH7Ui5GTK1,76165.47,False,False
dYvVaZY12nqTcokLaBgE1ht5YRcXUtUvMn,70981.0,False,False
dZv7MDibKQiS3hHAGrkgHkiv9aYLFy34fD,70799.8,False,False
dKDxwoCeUkePn1f5GBW3S92dGQwYK2gPRs,66013.72229001,False,False
dHimb5reXyue8R8HCp6S8Ce5mzANTyaiWr,64360.09607573,False,False
