address,balance,mnAddressAPI,mnAddressCakeAPI
8defichainBurnAddressXXXXXXXdRQkSm,156001261.273845,False,False
dZcHjYhKtEM88TtZLjp314H2xZjkztXtRc,17618476.41203999,False,False
dVbEYT4yBaDFHhkHdxuN2qQNbqXRg345za,3120091.11351,False,False
dTDYArGnSSuAEgQtCJxUqFP6x36uDgc1Tu,983473.43681289,False,False
dZFYejknFdHMHNfHMNQAtwihzvq7DkzV49,800000.00001,False,False
dEXw48VFhwa1pMkaH9ghVXZpzo17epUHVi,780851.2620419,False,False
8RPZm7SVUNhGN1RgGY3R92rvRkZBwETrCX,594811.03455387,True,False
8KRsoeCRKHUFFmAGGJbRBAgraXiUPUVuXn,594615.92450195,True,False
dFs7d2QhkpHqSaVKaGJVDZP6jSNaCiyMQn,506414.62854012,False,False
dYoX871cXdoyiXnbgmS97t7nuqi697Vang,506414.62441769,False,False
dP2Vu81uBbxcNgvyReF9dXCv17RNz6emr6,504143.19974297,False,False
dKjY8MXbcDm6katzAXTL72Go2xdoCUs8zR,500129.5826042,False,False
dXyedLLJMPhyzfu2pfMPq3HncAWAAm7Zzn,500129.57848177,False,False
dHSwB2QMfBQMxgjEwKHeLwJEQWPjkWUsNv,465873.50630699,False,False
dFS2sURRLJR4qPg5JRgWrh5RacsAz64sbX,465873.50218456,False,False
dXYsi8HHTxTizFQKyNJJL6bpJqAVCEJNQA,325699.17952165,False,False
8QXHag6KxD3iE6Kj48vuzqq4LjkFGsGixw,320680.11003456,True,False
db8jxAdUBYhCNpwzEEk74oPvQzVWizMaWg,295882.04747879,False,False
8RqhNARe5kdcVuUp8ZQYMK7de9mtDVuNgN,288168.97593887,False,False
dHxnJ5rikrzFSLe7UA72B6k7tP2H2mUdiX,270778.54382616,False,False
dTb8BT1xAWgNHNAxmDap1azxYY3RoszPuj,215551.0,False,False
dGzZM6ivhc3Rqzk8FmTSf6DvUcZrVjbBTc,109374.66250603,False,False
dPR2my7pzwViMYo4hdXQ9hWQH3bBbqDyBC,106646.46127804,False,False
8Tu1o16szqWxVj2wz8BeBrjKipb3xN2iH9,100353.38053519,True,False
dNWmWstogUELZWsQKgUXUbGcRNXmV2y6Q9,99229.33839511,False,False
db97EpGLUntnztbYK55wNt5jP948iDuM34,94177.25335148,False,False
dFddn7rB2ddYZUK3dUoRoq1HVUTiVyZdWc,89285.05797391,False,False
dRyZH1Sb1P5SuwXMFbrts1MUSBvTRGueJS,45853.34988047,False,False
dUoC8mtyLhqiiM8rWgMxX8aN5z3hpTmC1e,40000.0,False,False
dPmEwMqBhsmPEDmSfj5tcxS3Z4jDS8p1wv,35997.69654987,False,False
dW34obuTD37zBzu1K1Z1bw1AiH5nAcWwka,35997.69242744,False,False
dTh3xC1a1NLTw93sgztGCVKtA56qHgPCUt,35000.0,False,False
8bPQdtuwZ7JAswvVdeFg2Nq96XaLAPXxFS,34379.99983957,False,False
8GZvfoSDk1hW2BQKziUqzghEErKciuxVb3,32940.00367029,False,False
8ThhzS3R94B866Qz2g9bGWWWQc3sVMKzyM,32759.99983647,False,False
8Qqobg9LcFmqjV4iYAcvB2VbKnUGR6YKsM,31319.99983647,False,False
8FqapPqJPtfu5x8Q8z5r5qHNoemsQJoCat,31319.99983647,False,False
8P2PVK7X7gW92f81xkKmqdrh8M5SWNdcmx,30779.99984079,False,False
8NfpDRogMAB3gZdPgucHNDg8ZCr5hoBmN8,30600.00076629,False,False
8TS5zi3c9UGtKR45hDfHR15kkcpoctGw6L,30239.99993411,False,False
8aHx6hKWzsBDhzWhJXoH5MT9bXBonk8XAi,30060.00105461,False,False
8YJooCF2HUJek69RR76TYdoYcLsP1993nU,29879.99988529,False,False
8XADV3upkWt4jGs1oz8cTBqXskvy3D5nGg,29699.99988529,False,False
8XXrVgJFY8199ekPnJWDjdpRTzG5D5rf85,29340.0000131,False,False
8YUCDthLYBco5sLpLCsQanMLU4e7WH7Hid,29339.99983906,False,False
8PNruTxeVCQVKVVAEn2DjpAPY72ZHQpLjA,29160.00472974,False,False
8HneKgGDnvrYRBkyRA4uTmyEAR9DXWNJHJ,29160.00159846,False,False
8SYMR5DF2nyRy9PwhcdmHcmvP3gh6swopD,29156.89555755,False,False
8UtmC49EVXMbc6PW35NfmQqtnkenV7KJHJ,27359.99984266,False,False
8SM1HjLYaL7Y3oETE4mwCsbWTta6wvsSNj,27323.47508184,True,True
8Rp4G1p1PT5HtuYfMyN5w4iMjTHAWUKNxM,27208.39143919,True,True
8NeXnnxfaiYJVkrP9AfHPyphNUu1nekAhj,27179.99983647,False,False
8JR5UNHz8FJQxAr6qJcGjqJtQVjKJPA8s3,27175.39283448,True,True
8H9JhA5vghRVUBt77MfBHcsFnNE4dNQULy,27071.15819157,True,True
8ZpW7wfpaPRjcJxBGxCPsmCLNQ7QsnDTE5,26979.53148497,True,False
8WVM2Noux91Mt8bcKXc6X5GCe9DZxisEyF,26931.80254199,True,True
8Zai8i74e8buhZkPPQHpcBkoqtAcPhYNtE,26920.78905441,True,True
8FmgYi35vLR2rkGqwbTNR3YcEExhKh7tSF,26903.26832377,True,True
8LiwqWJEZ9VPQFD1JoebQhFWcF3GJDQN5t,26898.8195692,True,True
8YAZQvKLFnZdrg5KuKwPPET6bxGqxDHxcJ,26814.4826512,True,True
8Frmu8pLFherAhPgFbpxze1Bgiok1dJwR8,26796.83215845,True,True
8UCE28nHjebs8VsBAqWkenqBCRw3iN1zbU,26796.79173452,True,True
8MX8bUDFdLiU9KBt46DFLWF5pd67pcAv7m,26796.75856642,True,True
8MfdwLvpBmcxupSoBRqbcff8ExZztogwG8,26794.66122718,True,True
8TZkvfzssMJh5LQFqeAdnveS6aZ92RRLJ3,26794.62593564,True,True
8dVZiCWkbZF5vmAgZ3sBZzr1x64seYj72V,26792.58192559,True,True
